accela_record_id,record_number,source_module,disposition,match_method,matched_activity_id,integrated_activity_id,duplicate_key,review_required
acc-ef682ca7409ed143db6a,25CAP-00000-026VO,Building,appended_new_activity,no_exact_core_match,,tpa-215818850262d8,25CAP00000026VO,false
acc-afa758842d6c05cc0363,25CAP-00000-02DND,Building,appended_new_activity,no_exact_core_match,,tpa-e162bbb327abec,25CAP0000002DND,false
acc-dddef18cf2088ed59dd3,26TMP-002211,Building,appended_new_activity,no_exact_core_match,,tpa-7a1e01ca2a2037,26TMP002211,false
acc-65fa0c65465419dc7c92,26TMP-050473,Building,appended_new_activity,no_exact_core_match,,tpa-faaf58014ae2f0,26TMP050473,false
acc-f4e1ef700e5eb29c5a2e,26TMP-050521,Building,appended_new_activity,no_exact_core_match,,tpa-0b8170e80f6dde,26TMP050521,false
acc-d4e248ccbf035268782e,26TMP-050639,Building,appended_new_activity,no_exact_core_match,,tpa-456488eefbf664,26TMP050639,false
acc-701c90ff8fdbc158cdc9,26TMP-050648,Building,appended_new_activity,no_exact_core_match,,tpa-36c3aec111e95c,26TMP050648,false
acc-b4c9bebc8ac3e89bf61b,26TMP-050703,Building,appended_new_activity,no_exact_core_match,,tpa-c2df2d1843c049,26TMP050703,false
acc-e575b5c8cf1a0fd48e15,26TMP-050845,Building,appended_new_activity,no_exact_core_match,,tpa-2f883d9ff79947,26TMP050845,false
acc-75926d5c772cb705603e,26TMP-050882,Building,appended_new_activity,no_exact_core_match,,tpa-5318069f3ddd7c,26TMP050882,false
acc-74c2c153716e25673347,26TMP-050936,Building,appended_new_activity,no_exact_core_match,,tpa-61b28302ff0327,26TMP050936,false
acc-5474f67f20dcd3df01f9,26TMP-050959,Building,appended_new_activity,no_exact_core_match,,tpa-a1b64f3dbf163d,26TMP050959,false
acc-45506ec6cc26b9ecbab5,26TMP-051009,Building,appended_new_activity,no_exact_core_match,,tpa-f236e208e33c86,26TMP051009,false
acc-ff99c90768d64f56acd8,26TMP-051042,Building,appended_new_activity,no_exact_core_match,,tpa-8a7f7dbd96f401,26TMP051042,false
acc-ee6f4bb16693ecdce207,26TMP-051069,Building,appended_new_activity,no_exact_core_match,,tpa-e4ef32b53449f3,26TMP051069,false
acc-af49b63affc7b49855b0,26TMP-051096,Building,appended_new_activity,no_exact_core_match,,tpa-2c89ebd4f33da6,26TMP051096,false
acc-3f5b790a639fe894adf7,26TMP-051118,Building,appended_new_activity,no_exact_core_match,,tpa-e65a36e818aa7a,26TMP051118,false
acc-9343e606fd5f44502813,26TMP-051152,Building,appended_new_activity,no_exact_core_match,,tpa-c6ce3f3dc18ed9,26TMP051152,false
acc-edb4b5fa178e46f93e02,26TMP-051163,Building,appended_new_activity,no_exact_core_match,,tpa-456f4a777b5c97,26TMP051163,false
acc-849c3b9f487f6bcf233b,26TMP-051171,Building,appended_new_activity,no_exact_core_match,,tpa-85565884ffa1c3,26TMP051171,false
acc-727fb6ed97a7c886b7e7,26TMP-051193,Building,appended_new_activity,no_exact_core_match,,tpa-4991bc295f1e2f,26TMP051193,false
acc-5198bd9bbe5ba74705b9,26TMP-051222,Building,appended_new_activity,no_exact_core_match,,tpa-e8b3a144c368f0,26TMP051222,false
acc-70ee62decb233fbef719,26TMP-051266,Building,appended_new_activity,no_exact_core_match,,tpa-7f123777744693,26TMP051266,false
acc-cbda91d26e9b9dc2953e,26TMP-051271,Building,appended_new_activity,no_exact_core_match,,tpa-90fde8b2b4f76f,26TMP051271,false
acc-8737582520bafe920019,26TMP-051303,Building,appended_new_activity,no_exact_core_match,,tpa-88b20a73f2b481,26TMP051303,false
acc-f2843f45f93f63a26948,26TMP-051403,Building,appended_new_activity,no_exact_core_match,,tpa-9bd00f8cd3e23e,26TMP051403,false
acc-e86c63a3c0ff14d25d13,26TMP-051421,Building,appended_new_activity,no_exact_core_match,,tpa-ea93c2c29a0fa4,26TMP051421,false
acc-2382e582083fdb35bc5f,26TMP-051447,Building,appended_new_activity,no_exact_core_match,,tpa-d07d4c7c1bc6cc,26TMP051447,false
acc-b4ae6922ae6e9c0e0fd0,26TMP-051506,Building,appended_new_activity,no_exact_core_match,,tpa-f629c910475ace,26TMP051506,false
acc-08ca7b4e445abb345217,26TMP-051516,Building,appended_new_activity,no_exact_core_match,,tpa-c2681fae354349,26TMP051516,false
acc-d0f1f1ea5909de0ebf4e,26TMP-051610,Building,appended_new_activity,no_exact_core_match,,tpa-90e28bc3ebcf69,26TMP051610,false
acc-7aacef9f2454b7bb51f9,26TMP-051616,Building,appended_new_activity,no_exact_core_match,,tpa-4cb9fe9afc5c46,26TMP051616,false
acc-5b6b5d9e2ef54fc753ef,26TMP-051695,Building,appended_new_activity,no_exact_core_match,,tpa-f8b40b3716eb2d,26TMP051695,false
acc-f9ff7ca79ffb2ddca7e9,26TMP-051752,Building,appended_new_activity,no_exact_core_match,,tpa-548418865d9776,26TMP051752,false
acc-8b5bed1d045004111a8e,26TMP-051794,Building,appended_new_activity,no_exact_core_match,,tpa-cc16c522dba2be,26TMP051794,false
acc-4a6fcd3b9e254cd9da21,26TMP-051797,Building,appended_new_activity,no_exact_core_match,,tpa-12a86d107d0533,26TMP051797,false
acc-a3e3a56e0c5766804c23,26TMP-051822,Building,appended_new_activity,no_exact_core_match,,tpa-5e001d034ae84c,26TMP051822,false
acc-c2dcc8efe31f62e5eecb,26TMP-051823,Building,appended_new_activity,no_exact_core_match,,tpa-2a417749c21bfd,26TMP051823,false
acc-8de27d9c497481478320,26TMP-051859,Building,appended_new_activity,no_exact_core_match,,tpa-f1885039dc1b60,26TMP051859,false
acc-937165fa5144f1ee3122,26TMP-051869,Building,appended_new_activity,no_exact_core_match,,tpa-7ba671714879b0,26TMP051869,false
acc-3301de825ab158c00aaf,26TMP-051874,Building,appended_new_activity,no_exact_core_match,,tpa-e9aeda8facee13,26TMP051874,false
acc-c36de7c393907331b442,26TMP-051904,Building,appended_new_activity,no_exact_core_match,,tpa-98cc41015323c5,26TMP051904,false
acc-51f78868865e8ae81d9a,26TMP-051911,Building,appended_new_activity,no_exact_core_match,,tpa-6c77e7a0a1af2b,26TMP051911,false
acc-c9d877b195ed9e2cc1a7,26TMP-051914,Building,appended_new_activity,no_exact_core_match,,tpa-56ed47b496b619,26TMP051914,false
acc-2f1ee7d587b2d913161d,26TMP-051920,Building,appended_new_activity,no_exact_core_match,,tpa-4e9c91457db107,26TMP051920,false
acc-1571a76e9f65386f2f7d,26TMP-051925,Building,appended_new_activity,no_exact_core_match,,tpa-232348193f2f64,26TMP051925,false
acc-b7a1129a9b4251b22082,26TMP-051927,Building,appended_new_activity,no_exact_core_match,,tpa-c7c2eaec3395c1,26TMP051927,false
acc-64a37e5724b6e364b53d,26TMP-051989,Building,appended_new_activity,no_exact_core_match,,tpa-ac253715671aff,26TMP051989,false
acc-9855a4598890c38102c6,26TMP-052029,Planning,appended_new_activity,no_exact_core_match,,tpa-bfb58589019d9a,26TMP052029,false
acc-71876d22b54b2d38fe74,26TMP-052178,Building,appended_new_activity,no_exact_core_match,,tpa-ff6988e0ce188f,26TMP052178,false
acc-22bf1db922501970ed7f,26TMP-052264,Building,appended_new_activity,no_exact_core_match,,tpa-8e63bdb8b516ef,26TMP052264,false
acc-8f2de3a232be54773c19,26TMP-052292,Planning,appended_new_activity,no_exact_core_match,,tpa-6841c297f43f82,26TMP052292,false
acc-869456e2e2102a3b5e48,26TMP-052317,Building,appended_new_activity,no_exact_core_match,,tpa-69b5818e5036f7,26TMP052317,false
acc-e0dfa199e7011d4f7be6,26TMP-052443,Building,appended_new_activity,no_exact_core_match,,tpa-abaa077ca8d625,26TMP052443,false
acc-fddfa75fcd48a86051e0,26TMP-052603,Building,appended_new_activity,no_exact_core_match,,tpa-856bce9d50c8b4,26TMP052603,false
acc-9d081ebdda5ed258a225,26TMP-052617,Building,appended_new_activity,no_exact_core_match,,tpa-57de239919efc9,26TMP052617,false
acc-b9e7c99192319a6fdcb7,26TMP-052632,Building,appended_new_activity,no_exact_core_match,,tpa-0158e9732e7ebd,26TMP052632,false
acc-fc120a8c6ff2ea67b530,26TMP-052637,Building,appended_new_activity,no_exact_core_match,,tpa-0579b8c074aabf,26TMP052637,false
acc-fd7318badf9c74c9c61f,26TMP-052644,Building,appended_new_activity,no_exact_core_match,,tpa-f61385adf96945,26TMP052644,false
acc-f2b538d8a503fa6cbdb0,26TMP-052654,Building,appended_new_activity,no_exact_core_match,,tpa-5d99f60ab0ad13,26TMP052654,false
acc-6e9c3a1efa416113eb28,26TMP-052659,Building,appended_new_activity,no_exact_core_match,,tpa-8b806a042c547f,26TMP052659,false
acc-d1af43b4349f5a121c9b,26TMP-052660,Planning,appended_new_activity,no_exact_core_match,,tpa-371b8d342ef938,26TMP052660,false
acc-21db72d5815dcd00f304,26TMP-052671,Building,appended_new_activity,no_exact_core_match,,tpa-d8faaa9d42ca2e,26TMP052671,false
acc-19b190a56215b0239427,26TMP-052692,Building,appended_new_activity,no_exact_core_match,,tpa-77a06aa1b0c07b,26TMP052692,false
acc-e6b61e77bac30f026891,26TMP-052697,Building,appended_new_activity,no_exact_core_match,,tpa-946a6387830a0c,26TMP052697,false
acc-7cd431438ffb1ec30c74,26TMP-052757,Building,appended_new_activity,no_exact_core_match,,tpa-2c311e82755359,26TMP052757,false
acc-d5ae8cac10fd776f0980,26TMP-052791,Building,appended_new_activity,no_exact_core_match,,tpa-81073ce7909e0f,26TMP052791,false
acc-c77893c24de212fbeb46,26TMP-052835,Building,appended_new_activity,no_exact_core_match,,tpa-82273ea125f287,26TMP052835,false
acc-56e0c0eade1f3422d332,26TMP-052844,Building,appended_new_activity,no_exact_core_match,,tpa-8510b7aca86100,26TMP052844,false
acc-17b6b115575d488cf7e4,26TMP-052867,Building,appended_new_activity,no_exact_core_match,,tpa-f74938ca20a280,26TMP052867,false
acc-f18819caebc89e883aec,26TMP-052871,Building,appended_new_activity,no_exact_core_match,,tpa-f8c95bd2d91227,26TMP052871,false
acc-90ed95c9267e058ea28e,26TMP-052921,Planning,appended_new_activity,no_exact_core_match,,tpa-898f51a758f598,26TMP052921,false
acc-e13cc4679971aad5e88a,26TMP-052940,Building,appended_new_activity,no_exact_core_match,,tpa-72c548b5eec787,26TMP052940,false
acc-b9f9f04a11077943c6d2,26TMP-052942,Building,appended_new_activity,no_exact_core_match,,tpa-a489bea4a74c6f,26TMP052942,false
acc-3fb679ba024ae562058a,26TMP-052981,Building,appended_new_activity,no_exact_core_match,,tpa-23edccf9b71907,26TMP052981,false
acc-47715c813b8576a431f5,26TMP-052988,Building,appended_new_activity,no_exact_core_match,,tpa-e4e7f397325595,26TMP052988,false
acc-352926defc90c7819805,26TMP-053002,Building,appended_new_activity,no_exact_core_match,,tpa-bd525672b38ae3,26TMP053002,false
acc-34102326f60fbaa3215e,26TMP-053122,Building,appended_new_activity,no_exact_core_match,,tpa-2ac48c865ff34e,26TMP053122,false
acc-bf2dc03cc3e2279a81d9,26TMP-053134,Building,appended_new_activity,no_exact_core_match,,tpa-567311e83ef25a,26TMP053134,false
acc-becd89bad94a6e6076cb,26TMP-053143,Building,appended_new_activity,no_exact_core_match,,tpa-0edcde5081c9f8,26TMP053143,false
acc-74aef7ffdf54f86c032a,26TMP-053150,Building,appended_new_activity,no_exact_core_match,,tpa-a9a78d85b00100,26TMP053150,false
acc-acc5e2b16379e948fff5,26TMP-053164,Building,appended_new_activity,no_exact_core_match,,tpa-f2788e8d7eac0c,26TMP053164,false
acc-4f440ed3d74479c4f315,26TMP-053186,Building,appended_new_activity,no_exact_core_match,,tpa-0c32537322843e,26TMP053186,false
acc-b7d6e9c4a91d751b5368,26TMP-053242,Building,appended_new_activity,no_exact_core_match,,tpa-6e4c7df3ba2812,26TMP053242,false
acc-91f6a4dda2549d4b58aa,26TMP-053246,Building,appended_new_activity,no_exact_core_match,,tpa-aed54531e65280,26TMP053246,false
acc-01e5b5b32b6cd8504a56,26TMP-053282,Building,appended_new_activity,no_exact_core_match,,tpa-4f5ed4f6ed27c5,26TMP053282,false
acc-d805b81a8615d2b2cc07,26TMP-053302,Building,appended_new_activity,no_exact_core_match,,tpa-e0c246b7f019e3,26TMP053302,false
acc-cbb8d2075c2ab73c0eb5,26TMP-053417,Building,appended_new_activity,no_exact_core_match,,tpa-051b7dafbec0f9,26TMP053417,false
acc-e428421b59686e365908,26TMP-053433,Building,appended_new_activity,no_exact_core_match,,tpa-b15ce34fe45d04,26TMP053433,false
acc-03ee8134f41a018784a1,26TMP-053477,Building,appended_new_activity,no_exact_core_match,,tpa-8a929f74d899f6,26TMP053477,false
acc-4d1a1c10fcc3ad90e2c1,26TMP-053488,Building,appended_new_activity,no_exact_core_match,,tpa-b15b2f3b6bc292,26TMP053488,false
acc-46062821b8e7e779bbee,26TMP-053527,Building,appended_new_activity,no_exact_core_match,,tpa-774fa627b2b26c,26TMP053527,false
acc-3e40f679196798d73821,26TMP-053562,Building,appended_new_activity,no_exact_core_match,,tpa-8af51aaf39bc2e,26TMP053562,false
acc-2c6f97def74a268e4e0d,26TMP-053611,Building,appended_new_activity,no_exact_core_match,,tpa-46734ecaaaec50,26TMP053611,false
acc-3cb9e2f1ea15c5d279b9,26TMP-053646,Building,appended_new_activity,no_exact_core_match,,tpa-c66236ea8da8c1,26TMP053646,false
acc-031e096cececa025f016,26TMP-053647,Building,appended_new_activity,no_exact_core_match,,tpa-92b569c8906acb,26TMP053647,false
acc-60c8916a7056aecad169,26TMP-053648,Building,appended_new_activity,no_exact_core_match,,tpa-38d3e464e6a431,26TMP053648,false
acc-e613fa14bc2ea5f5a06f,26TMP-053653,Building,appended_new_activity,no_exact_core_match,,tpa-9ef998192ed461,26TMP053653,false
acc-df1f1c1256e75019b5f0,26TMP-053716,Building,appended_new_activity,no_exact_core_match,,tpa-cad58a64100b87,26TMP053716,false
acc-0c172500fa0586a2af20,26TMP-053735,Building,appended_new_activity,no_exact_core_match,,tpa-73ecfe8512ef08,26TMP053735,false
acc-73cd5a87f1ae86e9846b,26TMP-053759,Building,appended_new_activity,no_exact_core_match,,tpa-3c6d8ac3a83a53,26TMP053759,false
acc-73a6c0e136e24f2ce54d,26TMP-053768,Building,appended_new_activity,no_exact_core_match,,tpa-2ba06c7b171648,26TMP053768,false
acc-4ea625336b5431cf4120,26TMP-053854,Building,appended_new_activity,no_exact_core_match,,tpa-c837ed02c434f8,26TMP053854,false
acc-953e3ac08f52d807178c,26TMP-053893,Building,appended_new_activity,no_exact_core_match,,tpa-7b67b50dd00a03,26TMP053893,false
acc-8c16978288f6cf7968f9,26TMP-053921,Building,appended_new_activity,no_exact_core_match,,tpa-61535fc21ab529,26TMP053921,false
acc-0b38fba8b1d7f76a2ef2,26TMP-053937,Building,appended_new_activity,no_exact_core_match,,tpa-6f1d57b288d28c,26TMP053937,false
acc-132d149e4d92f4037dc2,26TMP-053972,Building,appended_new_activity,no_exact_core_match,,tpa-63cc4e9cb6850f,26TMP053972,false
acc-91a52dd5b2a8bda3d278,26TMP-054006,Building,appended_new_activity,no_exact_core_match,,tpa-b8f3c797e97e0c,26TMP054006,false
acc-364d9bc1d0c04a6331af,26TMP-054044,Building,appended_new_activity,no_exact_core_match,,tpa-9f4ac5f18bb490,26TMP054044,false
acc-554082cb0894984df74d,26TMP-054062,Building,appended_new_activity,no_exact_core_match,,tpa-4068aacccdd24d,26TMP054062,false
acc-2b0167c5b7e0e37dfd27,26TMP-054187,Building,appended_new_activity,no_exact_core_match,,tpa-442dfcf57e3e00,26TMP054187,false
acc-32956c0dd4506ea9da5e,26TMP-054196,Building,appended_new_activity,no_exact_core_match,,tpa-baeae8a43e9b2f,26TMP054196,false
acc-5c88047192885a1d249a,26TMP-054207,Building,appended_new_activity,no_exact_core_match,,tpa-cd263003db3fb6,26TMP054207,false
acc-826ca02318cfaeb9fa6c,26TMP-054224,Building,appended_new_activity,no_exact_core_match,,tpa-03f4c6f47d2688,26TMP054224,false
acc-fd9285336381b0be7936,26TMP-054225,Planning,appended_new_activity,no_exact_core_match,,tpa-af7c4daab91cf4,26TMP054225,false
acc-eec3cc8fc9d8874af6fc,26TMP-054291,Building,appended_new_activity,no_exact_core_match,,tpa-75166e69739861,26TMP054291,false
acc-d474e2ee59bf32226107,26TMP-054301,Building,appended_new_activity,no_exact_core_match,,tpa-5215a08af47f83,26TMP054301,false
acc-e7c3857f488eb73c1be9,26TMP-054304,Planning,appended_new_activity,no_exact_core_match,,tpa-2eee95797db96f,26TMP054304,false
acc-99c36ce7647e50fad502,26TMP-054392,Building,appended_new_activity,no_exact_core_match,,tpa-f428d76442be02,26TMP054392,false
acc-d90e4d090f393778e134,26TMP-054406,Building,appended_new_activity,no_exact_core_match,,tpa-391dd1c7990ce0,26TMP054406,false
acc-43371a258b35950322bb,26TMP-054440,Building,appended_new_activity,no_exact_core_match,,tpa-0e05d65101336a,26TMP054440,false
