change_id,comparison_month,before_snapshot_date,after_snapshot_date,change_type,semantic_type,source_name,record_identity,source_record_id,changed_fields,old_value,new_value,source_url,interpretation_note
chg-7ccaeed7039373cc,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{1835E86F-0335-44E3-8803-54E051EC52E9},,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P4: Construction""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f,Values are source-reported states observed at two retrieval times.
chg-c76e4d1670c2811e,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|GLOBALID|{FB1A0DFA-FF8B-422F-99DE-D472FBC93615},,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f,Values are source-reported states observed at two retrieval times.
chg-f6ffa85e7d3594be,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1000750,1000750,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000750.pdf,Values are source-reported states observed at two retrieval times.
chg-c980289a2e4e6d1c,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1000751|GLOBALID|{ED43CAC8-7F70-4340-8F07-E73C4B78A5A1},1000751,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000751.pdf,Values are source-reported states observed at two retrieval times.
chg-18046434291e672a,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1000751|GLOBALID|{FD3357E3-EC61-49A5-A988-FA2CED1BA3A0},1000751,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000751.pdf,Values are source-reported states observed at two retrieval times.
chg-6af074f8f8c4ec2e,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1001848,1001848,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001848.pdf,Values are source-reported states observed at two retrieval times.
chg-e0bfb1c85691d01a,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1001955|GLOBALID|{91C573CD-122D-4C39-96CC-68510F82764E},1001955,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P2: Design""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001955.pdf,Values are source-reported states observed at two retrieval times.
chg-c6fef7e3bf75ab88,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1001955|GLOBALID|{9CD197F2-7D2B-4EFF-99E8-07372461319A},1001955,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P3: Procurement""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001955.pdf,Values are source-reported states observed at two retrieval times.
chg-f9daa1375e1c493f,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1001955|GLOBALID|{C5024D73-FC6E-42C9-AA6D-1A0D5114AF99},1001955,capital_phase,"{""capital_phase"": ""P4: Construction""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001955.pdf,Values are source-reported states observed at two retrieval times.
chg-7d1c250561ff75ac,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1002016.2,1002016.2,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P4: Construction""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002016.2.pdf,Values are source-reported states observed at two retrieval times.
chg-e18c8dbc03754cca,2026-09,2026-08-23,2026-09-01,capital_project_phase_changed,,capital_improvements,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{882FB33A-2FD8-4352-82F9-04C962F2ADAA},1002588.2,capital_phase,"{""capital_phase"": ""P2: Design""}","{""capital_phase"": ""P5: Closeout""}",https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f,Values are source-reported states observed at two retrieval times.
