source_id,changed_field,semantic_change_category,unique_retained_identities_affected,change_row_count,retained_record_denominator,affected_retained_rate,common_old_to_new_patterns,mass_refresh_warning
capital_improvements,ContractNumber,other_field_changed,6,6,189,0.031746,"[{""new_value"":""25-C-00013"",""old_value"":""23-C-00018"",""record_count"":2},{""new_value"":""25-C-00010"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""20-C-00016"",""old_value"":""20-C-0000016"",""record_count"":1},{""new_value"":""25-C-00020"",""old_value"":""23-C-00018"",""record_count"":1},{""new_value"":""26-C-00018"",""old_value"":""23-C-00018"",""record_count"":1}]",False
capital_improvements,Council,other_field_changed,3,3,189,0.015873,"[{""new_value"":""5"",""old_value"":""7"",""record_count"":3}]",False
capital_improvements,EBO,other_field_changed,20,20,189,0.10582,"[{""new_value"":""13.0"",""old_value"":""13"",""record_count"":4},{""new_value"":""14.0"",""old_value"":""14"",""record_count"":3},{""new_value"":""18.0"",""old_value"":""18"",""record_count"":3},{""new_value"":""30.0"",""old_value"":""30"",""record_count"":2},{""new_value"":""5.0"",""old_value"":""5"",""record_count"":2},{""new_value"":""6.0"",""old_value"":""6"",""record_count"":2},{""new_value"":""12.0"",""old_value"":""12"",""record_count"":1},{""new_value"":""17.0"",""old_value"":""17"",""record_count"":1},{""new_value"":""21.0"",""old_value"":""21"",""record_count"":1},{""new_value"":""9.0"",""old_value"":""9"",""record_count"":1}]",False
capital_improvements,EBOAttained,other_field_changed,8,8,189,0.042328,"[{""new_value"":""100.0"",""old_value"":""100"",""record_count"":3},{""new_value"":""2.0"",""old_value"":""2"",""record_count"":2},{""new_value"":""0.0"",""old_value"":""0"",""record_count"":1},{""new_value"":""19.0"",""old_value"":""19"",""record_count"":1},{""new_value"":""4.0"",""old_value"":""4"",""record_count"":1}]",False
capital_improvements,MapScale,other_field_changed,189,189,189,1.0,"[{""new_value"":""6000.0"",""old_value"":""6000"",""record_count"":189}]",True
capital_improvements,MultiYear,other_field_changed,1,1,189,0.005291,"[{""new_value"":""Yes"",""old_value"":""No"",""record_count"":1}]",False
capital_improvements,ProjectSiteURL,other_field_changed,2,2,189,0.010582,"[{""new_value"":""<a href=\""https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f 1002797.pdf\""> 1002797</a>"",""old_value"":""(blank)"",""record_count"":1},{""new_value"":""<a href=\""https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002941.pdf\"">1002941</a>"",""old_value"":""(blank)"",""record_count"":1}]",False
capital_improvements,WMBESLBE,other_field_changed,19,19,189,0.100529,"[{""new_value"":""2.0"",""old_value"":""2"",""record_count"":3},{""new_value"":""11.0"",""old_value"":""11"",""record_count"":2},{""new_value"":""28.0"",""old_value"":""28"",""record_count"":2},{""new_value"":""4.0"",""old_value"":""4"",""record_count"":2},{""new_value"":""6.0"",""old_value"":""6"",""record_count"":2},{""new_value"":""74.0"",""old_value"":""74"",""record_count"":2},{""new_value"":""0.0"",""old_value"":""0"",""record_count"":1},{""new_value"":""10.0"",""old_value"":""10"",""record_count"":1},{""new_value"":""100.0"",""old_value"":""100"",""record_count"":1},{""new_value"":""12.0"",""old_value"":""12"",""record_count"":1}]",False
capital_improvements,actual_cost,reported_actual_cost_changed,188,188,189,0.994709,"[{""new_value"":""0.0"",""old_value"":""0"",""record_count"":188}]",True
capital_improvements,capital_phase,capital_project_phase_changed,20,20,189,0.10582,"[{""new_value"":""P5: Closeout"",""old_value"":""P4: Construction"",""record_count"":10},{""new_value"":""P3: Procurement"",""old_value"":""P2: Design"",""record_count"":2},{""new_value"":""P4: Construction"",""old_value"":""P2: Design"",""record_count"":2},{""new_value"":""P5: Closeout"",""old_value"":""P2: Design"",""record_count"":2},{""new_value"":""P4: Construction"",""old_value"":""P3: Procurement"",""record_count"":2},{""new_value"":""P2: Design"",""old_value"":""P4: Construction"",""record_count"":2}]",False
