record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-9205f04abf07b5ac,CAPITAL_IMPROVEMENTS|NATIVE|1001936,src-00ba1f5df23efa01,tpa-6ee9a2e188bdf2,capital_improvements,1001936,2021-07-26,2021-07,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Permitting/Submittals Approval,Rivercrest Park Boardwalk Renovation,Parks & Recreation,,South Seminole Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001936.pdf
rec-aee239aa32c21f32,CAPITAL_IMPROVEMENTS|NATIVE|1002179,src-d5214b70df1267ab,tpa-8b45dcb5c28c83,capital_improvements,1002179,2021-07-12,2021-07,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Planning,South Howard Flood Relief Project,Stormwater Engineering,,Parkland Estates,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002179.pdf
rec-c2a97adcbcf9ef89,CAPITAL_IMPROVEMENTS|NATIVE|1001618,src-ca674b7cf6a93ddd,tpa-d2e578d5a8c434,capital_improvements,1001618,2021-07-26,2021-07,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,90% Design Completion,"Greenways, Trail & Gateway Sign - New Tampa Nature Park",Parks & Recreation,,TPOST 3,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001618.pdf
rec-e9f2287b1dcc6743,CAPITAL_IMPROVEMENTS|NATIVE|1001674,src-dd630ff2ecdb49ab,tpa-98a17eb54517ba,capital_improvements,1001674,2021-07-23,2021-07,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,30% Design Completion,Lois Ave (Cleveland St to Boy Scout Blvd),Transportation,,Tampa International Airport,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001674.pdf
rec-381e298626eb77bc,CAPITAL_LOCATIONS_POINT|NATIVE|WTR-20-0001.11,src-2deb291ff37a1a68,tpa-9fdfcf578c4f85,capital_locations_point,WTR-20-0001.11,2021-07-20,2021-07,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Construction in Progress,TECO House and Sitewide Electrical,Water,,Old Seminole Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR-20-0001.11.pdf
rec-bd5b49a7da643997,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0485424,src-253a681834d99f59,tpa-cd988dc9a40a90,construction_inspections,BLD-21-0485424,2021-07-17,2021-07,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,Re-opened NEW SFR-2 story,Residential New Construction and Additions (1 and 2 Family),4922 W San Rafael St,Sunset Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=01YV9&agencyCode=TAMPA
rec-d3fe7a701781f6db,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0485610,src-717aed30b93fa77f,tpa-5d3de2f502632b,construction_inspections,BLD-21-0485610,2021-07-23,2021-07,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Remodel bathroom & kitchen,Residential Building Alterations (Renovations),1200 E Powhatan Ave,Hampton Terrace Community Association (HTCA),https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=020G8&agencyCode=TAMPA
rec-df056f5658650364,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0485747,src-25685396212aea73,tpa-77e6c8ae672828,construction_inspections,BLD-21-0485747,2021-07-29,2021-07,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,New SFR,Residential New Construction and Additions (1 and 2 Family),2812 Durham St,Palmetto Beach,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=021HJ&agencyCode=TAMPA
rec-e0450ecfff88a6f0,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0485645,src-c2f10f3c6943bf51,tpa-d156e2fcf15791,construction_inspections,BLD-21-0485645,2021-07-26,2021-07,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,Site & Fdn: New Restaurant,Commercial New Construction and Additions,2399 E Busch Blvd,Temple Crest,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=020OH&agencyCode=TAMPA
rec-ffbdf8909c644ff8,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-21-0485284,src-d0a8c6c62a941811,tpa-19f8f67ae68583,construction_inspections,BLD-21-0485284,2021-07-12,2021-07,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Master Bathroom Remodel,Residential Building Alterations (Renovations),4612 W Lamb Ave,Sunset Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=01XO1&agencyCode=TAMPA
