record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-dd66d2b13d582802,CAPITAL_IMPROVEMENTS|NATIVE|534007,src-5bba8c6a1309866f,tpa-b84ad11a207254,capital_improvements,534007,2024-06-12,2024-06,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Closeout,CRA- ET Memorial Park Cemetery Fencing,Parks & Recreation,,College Hill-Belmont Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f534007.pdf
rec-005bd423919c345a,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509939,src-531d3ac5ac9b1608,tpa-4723e8a7426e26,construction_inspections,BLD-24-0509939,2024-06-27,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,OWNER /Re-opened Addition,Residential New Construction and Additions (1 and 2 Family),3408 W Villa Rosa St,Bayshore Beautiful,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=01WDE&agencyCode=TAMPA
rec-0740e5a3dc4c2ffb,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509333|GLOBALID|{27DB13F9-5C06-4743-85AE-01588A82EDF2},,,construction_inspections,BLD-24-0509333,2024-06-02,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-09-01,2026-09,2026-09-01,2026-09,2026-09-01,2026-09,1,1,Revision,NEW SFR with existing SFR onsite,Residential New Construction and Additions (1 and 2 Family),1910 W Horatio St,South Howard,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00WW0&agencyCode=TAMPA
rec-1294effb6ee7f570,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509858,src-8d32909d38ff915b,tpa-fef467f677c2bc,construction_inspections,BLD-24-0509858,2024-06-19,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,Addition/Remodel w/driveway extension,Residential New Construction and Additions (1 and 2 Family),2936 W Wallcraft Ave,Bayshore Beautiful,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=01VLR&agencyCode=TAMPA
rec-1766d6f3185dad5c,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509921,src-fdfde74abcea6a25,tpa-d137cbe67f28b7,construction_inspections,BLD-24-0509921,2024-06-27,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,07-25-25 KPI | PP:WAIVER-Reopened: New 3-Story SFR (Townhouse) 1-Car Garage -Unit 1,Residential New Construction and Additions (1 and 2 Family),201 W Gladys St,Tampa Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=01W7A&agencyCode=TAMPA
rec-2478711b507da2a7,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509672,src-5d21977b6991be32,tpa-45f3ec1be263ed,construction_inspections,BLD-24-0509672,2024-06-14,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,FEMA: PP: New 3 Story SFR,Residential New Construction and Additions (1 and 2 Family),130 Adriatic Ave,Davis Islands,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=01RTI&agencyCode=TAMPA
rec-25838454df73faf1,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509974,src-6d450b2d20281bae,tpa-0249c4b0a38099,construction_inspections,BLD-24-0509974,2024-06-10,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,REISSUE - FEMA: Ste 19: Com Alt - Cookie Plug,Commercial Building Alterations (Renovations),18033 Highwoods Preserve Pkwy,Richmond Place,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=01WS5&agencyCode=TAMPA
rec-3fd2e584c4db88cd,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509538,src-a8417572b00a1374,tpa-6f466745c78d53,construction_inspections,BLD-24-0509538,2024-06-12,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,09-08-25 KPI | REACTIVATED - FEMA - 2 Story Addition with Garage,Residential New Construction and Additions (1 and 2 Family),3422 S Beach Dr,Bel Mar Shores,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00YVH&agencyCode=TAMPA
rec-4180a987831b54f3,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509612,src-05eb54e4cc8ff796,tpa-a16dd6a2ae7979,construction_inspections,BLD-24-0509612,2024-06-11,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Revision,FEMA: PP: New SFR-3 Story,Residential New Construction and Additions (1 and 2 Family),128 Adriatic Ave,Davis Islands,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00ZG1&agencyCode=TAMPA
rec-46f1867a4ed61c84,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509874,src-f5bcf72b5c4e2aa2,tpa-a8a2a8693add8e,construction_inspections,BLD-24-0509874,2024-06-24,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,Issued,FEMA - New 2-Story SFR,Residential New Construction and Additions (1 and 2 Family),2608 S Dundee St,Sunset Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=01VPG&agencyCode=TAMPA
rec-4c94290a0c417a81,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-24-0509333|GLOBALID|{3E03E58B-168A-42E4-9B76-26EB2268E4F2},src-a8a8ac31b9e3f806,tpa-79bb3f5f3055ed,construction_inspections,BLD-24-0509333,2024-06-02,2024-06,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,0,Revision,NEW SFR with existing SFR onsite,Residential New Construction and Additions (1 and 2 Family),1910 W Horatio St,South Howard,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=00WW0&agencyCode=TAMPA
