record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-5bd479edccf272f0,CAPITAL_IMPROVEMENTS|NATIVE|WTR-20-0017,src-83c332cae4ef7473,tpa-530b9cd940a340,capital_improvements,WTR-20-0017,2024-10-21,2024-10,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout | C2.1-Construction,Morris Bridge Filter Roof Retro – COOP Site,Water,,TPOST 3,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2fWTR-20-0017.pdf
rec-70b26bae0196adc5,CAPITAL_IMPROVEMENTS|NATIVE|1002449,src-506631ef752abc09,tpa-77c2f61e91c09c,capital_improvements,1002449,2024-10-31,2024-10,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,Sligh Ave & 30th St (Signal),Transportation,,Old Seminole Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002449.pdf
rec-7a6b39721b5753a1,CAPITAL_IMPROVEMENTS|NATIVE|1001365,src-bdacad55a24e358c,tpa-98cce022ad94b0,capital_improvements,1001365,2024-10-23,2024-10,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Construction in Progress | C2.1-Construction,Herman Massey Park Rehabilitation,Parks & Recreation,,Downtown River Arts,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001365.pdf
rec-0c4f6e84749cf012,CAPITAL_LOCATIONS_POINT|NATIVE|TRANS10034,src-f5a6918416537ddb,tpa-d3f118a3b1c724,capital_locations_point,TRANS10034,2024-10-24,2024-10,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,30% Design Completion,S West Shore Blvd and W Tyson Ave Traffic Signal,Transportation,,Gandy / Sun Bay South,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
rec-71331b5367da41d8,CAPITAL_LOCATIONS_POINT|NATIVE|TRANS10027,src-023e0890ea499610,tpa-ce80fa4571c44b,capital_locations_point,TRANS10027,2024-10-31,2024-10,capital_planned_start,planstart,source_reported_plan,1,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Closeout,Sligh Ave and 30th St,Transportation,,Old Seminole Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002148.pdf
rec-b9b6b4b17a86fc8d,CAPITAL_LOCATIONS_POINT|NATIVE|TRANS10033,src-0c0cf001f06a50b4,tpa-fcb5e1c46a52dc,capital_locations_point,TRANS10033,2024-10-24,2024-10,source_record_created,CreationDate,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,30% Design Completion,Columbus Dr & Rome Ave - New Traffic Signal,Transportation,,"West River, Bowman Heights, Old West Tampa",https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CityWideProjectsPublic/FeatureServer/0
rec-010afb6d9e4a2a2e,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0511942,src-a581f055467ef56c,tpa-0a4a9c5cf04c81,construction_inspections,BLD-25-0511942,2024-10-02,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,04-18-25 KPI | FEMA: 2-Story SFR,Residential New Construction and Additions (1 and 2 Family),2623 S Bryant Cir,Sunset Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02IBJ&agencyCode=TAMPA
rec-0d659445a0f93f19,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512261,src-97b6142ad962e495,tpa-b4dd8aca18671c,construction_inspections,BLD-25-0512261,2024-10-29,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Re-issued ATF: Addition & Exterior Remodel w/ violation CMP-24-0008885,Residential New Construction and Additions (1 and 2 Family),1521 W Patterson St,Lowry Park Central,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02KPP&agencyCode=TAMPA
rec-20b76eb31da3c178,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512267,src-0fd8792f3a96cd88,tpa-c0d2127d85f350,construction_inspections,BLD-25-0512267,2024-10-29,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Accelerated Project | Owner ** Storm Damage **Fema-Interior Repairs,Residential Building Alterations (Renovations),5302 Pearl Ct,Ballast Point,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02KR2&agencyCode=TAMPA
rec-3433e177c42ffdc1,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512333,src-95d672fc7cc707fc,tpa-e70daaad1d0919,construction_inspections,BLD-25-0512333,2024-10-30,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Accelerated Project | REISSUE - FEMA** Storm Damage ** 1217 S Roxmere Rd (ACA),Residential Building Alterations (Renovations),1217 S Roxmere Rd,Culbreath Bayou,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02L70&agencyCode=TAMPA
rec-36bba14e6af676d1,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512014,src-4e61f089d03e0162,tpa-172232a4e40341,construction_inspections,BLD-25-0512014,2024-10-16,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,Interior remodel,Residential Building Alterations (Renovations),4301 N Central Ave,Old Seminole Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02IU5&agencyCode=TAMPA
rec-4265a458472c6ba2,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512049,src-b7560b03202c9306,tpa-dc034e25018c9a,construction_inspections,BLD-25-0512049,2024-10-18,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,04-22-25 KPI | Addition laundry room,Residential New Construction and Additions (1 and 2 Family),4811 N Mendenhall Dr,Wellswood,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02J3G&agencyCode=TAMPA
rec-47afb505159ea407,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512227,src-98f1fdbe050c0a29,tpa-85de7da933a083,construction_inspections,BLD-25-0512227,2024-10-28,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,FEMA: PP: 2-STORY NEW SFR,Residential New Construction and Additions (1 and 2 Family),4936 Saint Croix Dr,Culbreath Isles,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02KFQ&agencyCode=TAMPA
rec-4d70f012b61665c9,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512088,src-ee68b9a2f65af6c1,tpa-98311e1937ed3f,construction_inspections,BLD-25-0512088,2024-10-09,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Phase 1: Site and Foundation- New Medical Office - Lalli Dental Office,Commercial New Construction and Additions,3404 W Bay To Bay Blvd,Palma Ceia,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02JEV&agencyCode=TAMPA
rec-4dec25e9b562357f,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0511949,src-24a120f3ee8a915f,tpa-ac7dd00367d2fc,construction_inspections,BLD-25-0511949,2024-10-08,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,Re-opened Rear Addition & Interior Remodel,Residential New Construction and Additions (1 and 2 Family),3621 W El Prado Blvd,Palma Ceia,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02ICR&agencyCode=TAMPA
rec-50fe52293d8cdaaf,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0511865,src-91fa0698cf484cdb,tpa-ec9b31b76f2163,construction_inspections,BLD-25-0511865,2024-10-02,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,OWNER - Addition & Remodel,Residential New Construction and Additions (1 and 2 Family),1610 E 28th Ave,College Hill-Belmont Heights,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02HPR&agencyCode=TAMPA
rec-5e0dbdfbe5400207,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512062,src-bde8f0a99d820031,tpa-6306b6e66f5db1,construction_inspections,BLD-25-0512062,2024-10-18,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,06/16/25 KPI | Addition and Remodel,Residential Building Alterations (Renovations),1912 W Dekle Ave,Historic Hyde Park,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02J6D&agencyCode=TAMPA
rec-878a87bdf7c46e74,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512199,src-b378ad07add36bbe,tpa-b63181a27fd177,construction_inspections,BLD-25-0512199,2024-10-25,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,PP: Phase 3A: THRESHOLD: Gallery at Rome Yard - New 11 Story Residential Bldg,Commercial New Construction and Additions,2609 N Rome Ave,West River,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02K7P&agencyCode=TAMPA
rec-8a93a16ab56b4d4f,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512200,src-bdf95c6e78cad44b,tpa-87cd2f4d6fd6d5,construction_inspections,BLD-25-0512200,2024-10-25,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,06-03-25 KPI | PP: Phase 3A: Threshold: Gallery at Rome Yard - MASTER SITE (Phase 3A) and 4 Story Garage,Commercial New Construction and Additions,2609 N Rome Ave,West River,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02K7Q&agencyCode=TAMPA
rec-9ecf0009e61ee724,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512324,src-525e428039800e45,tpa-f04e7f70958bb6,construction_inspections,BLD-25-0512324,2024-10-31,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,REACTIVATED - NEW SFR / Attach Garage,Residential New Construction and Additions (1 and 2 Family),3224 E Louisiana Ave,East Tampa 1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02L4B&agencyCode=TAMPA
rec-b89112f2acae456f,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0511824,src-d7a6fd0510a5f5f1,tpa-bfb2d87c3355f9,construction_inspections,BLD-25-0511824,2024-10-01,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,REISSUE - ATF- Interior/Exterior Remodel w/ violation -CMP-24-0002417,Residential New Construction and Additions (1 and 2 Family),1230 E Henry Ave,Hampton Terrace Community Association (HTCA),https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02HA9&agencyCode=TAMPA
rec-d7d51f6a95660f15,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512166,src-4dd9f80fae50df50,tpa-dae0e13a11a94f,construction_inspections,BLD-25-0512166,2024-10-24,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,FEMA- NEW SFR 3 STORY,Residential New Construction and Additions (1 and 2 Family),641 Hudson Ave,Davis Islands,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02JYN&agencyCode=TAMPA
rec-e2d30db15bd6d74a,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512245,src-169ba9671f283191,tpa-48cd07612437d7,construction_inspections,BLD-25-0512245,2024-10-29,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Revision,FEMA:PRIVATE PROVIDER: NEW 2 story SFR,Residential New Construction and Additions (1 and 2 Family),563 Rhine Ave,Davis Islands,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02KIV&agencyCode=TAMPA
rec-e6e66756f10e4d9a,CONSTRUCTION_INSPECTIONS|NATIVE|BLD-25-0512547,src-2bfd3e090b4565e0,tpa-c5fdbfc421fade,construction_inspections,BLD-25-0512547,2024-10-28,2024-10,permit_record_created,CREATEDDATE,source_record_metadata,0,0,2026-08-23,2026-08,2026-08-23,2026-08,2026-08-23,2026-08,1,1,Issued,"REISSUE: SEC - Interior Alteration - Remove Motorized Chair Lift, Build New Ramp",Commercial Building Alterations (Renovations),900 N Ashley Dr,Downtown River Arts,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=24CAP&capID2=00000&capID3=02MWE&agencyCode=TAMPA
