record_id,record_identity,source_record_key,activity_id,source_name,source_record_id,event_date,event_month,event_date_type,event_date_source_field,event_date_basis,event_date_is_planned,event_date_is_after_snapshot,first_observed_date,first_observed_month,last_observed_date,last_observed_month,snapshot_date,snapshot_month,observation_count,currently_observed,status,project_name,record_type,address,neighborhood,source_url
rec-07bcb79b705c77be,CAPITAL_IMPROVEMENTS|NATIVE|1002661,src-8300d0fe07dc6066,tpa-a8886e3a8ac0a2,capital_improvements,1002661,2027-01-01,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,60% Design Completion,Lakeshore PS Force Main Replacement,Wastewater,,Temple Crest,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002661.pdf
rec-613de84e728ea635,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{6E170C1A-AE66-49EF-89A6-E87F19015228},src-47c3064c53f8dc36,tpa-0e542856d02973,capital_improvements,1002588.2,2027-01-01,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,30% Design Completion,Church St FM Extension,Wastewater,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002588.2.pdf
rec-68d410be2c904e27,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{64F2E115-E1A0-4BFA-9045-3B396C31F081},src-3479f0f298046892,tpa-ab88120e4e2cf5,capital_improvements,1002588.2,2027-01-01,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Gunlock PS Force Main Replacement,Wastewater,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002588.2.pdf
rec-acfa9cc896696c35,CAPITAL_IMPROVEMENTS|NATIVE|1002971,src-e21aa50fc897644b,tpa-224cc398cbea00,capital_improvements,1002971,2027-01-01,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,30% Design Completion,Busch Blvd Trunk Sewer Rehabilitation by CIPP Lining,Wastewater,,Terrace Park,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002971.pdf
rec-b3d5110dc8e5e06d,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{742B017E-EC5D-4541-84F5-F0BC8D949610},src-7f9b834292f98cc7,tpa-c9f2fb736272f6,capital_improvements,1002588.2,2027-01-01,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,River Bluffs PS- 50th St/E Regnas Ave FM,Wastewater,,Temple Crest,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002588.2.pdf
rec-bf243530d07986f1,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{1E6A37E9-9295-4A4F-8679-381A1960E402},src-ab77e2e8892cf2f8,tpa-de3734e9f296af,capital_improvements,1002588.2,2027-01-01,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Interbay PS FM Replacement,Wastewater,,Ballast Point,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002588.2.pdf
rec-ca5432a145d6b281,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{F69CB0A3-8C50-4F2A-94CC-40E7EB4ECE2C},src-3b5608756be8ccbf,tpa-aa89455ae92488,capital_improvements,1002588.2,2027-01-01,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,60% Design Completion,Sugarcreek PS FM Replacement,Wastewater,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002588.2.pdf
rec-ca737ab4a19905a9,CAPITAL_IMPROVEMENTS|NATIVE|1002477,src-f30d76505b2437d7,tpa-3c9b63cd8b2149,capital_improvements,1002477,2027-01-01,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,60% Design Completion,JPA- FDOT Height Multimodal Improvements,Wastewater,,Tampa Heights,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002477.pdf
rec-cf349ace594ac72d,CAPITAL_IMPROVEMENTS|NATIVE|1001527,src-ab5b99d2bb87fff3,tpa-55828ee72706f4,capital_improvements,1001527,2027-01-04,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,Lantana-Poinsettia Pump Station,Stormwater Engineering,,North Tampa Community,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001527.pdf
rec-e78a264198b38568,CAPITAL_IMPROVEMENTS|NATIVE|1002588.2|GLOBALID|{95D0E699-7771-4ADB-BA4A-D7B67864DCE7},src-9bc18996f10a0b87,tpa-1d4651d0b0d880,capital_improvements,1002588.2,2027-01-01,2027-01,capital_planned_start,planstart,source_reported_plan,1,1,2026-08-23,2026-08,2026-09-01,2026-09,2026-09-01,2026-09,2,1,90% Design Completion,122nd Street PS FM Replacement,Wastewater,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002588.2.pdf
