old_activity_id,new_activity_id,cluster_basis,cluster_key
tpa-6f15931d9cc598,tpa-057423477d6ecf,connected_exact_normalized_project_names_across_capital_layers,N 34TH STREET ADA IMPROVEMENTS FROM 29TH AVE TO 33RD AVE
tpa-9e0d2c9def1c59,tpa-057423477d6ecf,connected_exact_normalized_project_names_across_capital_layers,N 34TH STREET ADA IMPROVEMENTS FROM 29TH AVE TO 33RD AVE
tpa-001a0604bb1d7a,tpa-06228d1f4d0792,connected_exact_normalized_project_names_across_capital_layers,PARKEDGE PUMPING STATION REHABILITATION YEAR 2
tpa-99bbacfa53882c,tpa-06228d1f4d0792,connected_exact_normalized_project_names_across_capital_layers,PARKEDGE PUMPING STATION REHABILITATION YEAR 2
tpa-6033385b574086,tpa-08c3d9bfa91b42,connected_exact_normalized_project_names_across_capital_layers,DOWNTOWN INTERCHANGE WASTEWATER COLLECTION SYSTEM REHABILITATION BY CIPP LINING
tpa-c80d82e619c8a0,tpa-08c3d9bfa91b42,connected_exact_normalized_project_names_across_capital_layers,DOWNTOWN INTERCHANGE WASTEWATER COLLECTION SYSTEM REHABILITATION BY CIPP LINING
tpa-3b86c5c3059ec7,tpa-098cbcedd446c3,connected_exact_normalized_project_names_across_capital_layers,YORKSHIRE
tpa-faf18e273952da,tpa-098cbcedd446c3,connected_exact_normalized_project_names_across_capital_layers,YORKSHIRE
tpa-c6b837fba441c7,tpa-0ab058157c6fd5,connected_exact_normalized_project_names_across_capital_layers,MANHATTAN OBISPO TO BAY TO BAY FLOODING RELIEF PHASE 2
tpa-f21d32d29a9f2d,tpa-0ab058157c6fd5,connected_exact_normalized_project_names_across_capital_layers,MANHATTAN OBISPO TO BAY TO BAY FLOODING RELIEF PHASE 2
tpa-345fb1a6e6140f,tpa-0b19c44bee2529,connected_exact_normalized_project_names_across_capital_layers,MABEL NORTH OF HENRY
tpa-53e55efab7cea2,tpa-0b19c44bee2529,connected_exact_normalized_project_names_across_capital_layers,MABEL NORTH OF HENRY
tpa-3905a42d39064d,tpa-0bbca492f94243,connected_exact_normalized_project_names_across_capital_layers,LOWER PENINSULA
tpa-b11e5ecf9a2ad1,tpa-0bbca492f94243,connected_exact_normalized_project_names_across_capital_layers,LOWER PENINSULA
tpa-3d59fdaa1331a8,tpa-0cb5c8fa34eba7,connected_exact_normalized_project_names_across_capital_layers,S MACDILL AVE RESURFACING FROM W GANDY BLVD TO W BAY TO BAY BLVD
tpa-c580508cac6876,tpa-0cb5c8fa34eba7,connected_exact_normalized_project_names_across_capital_layers,S MACDILL AVE RESURFACING FROM W GANDY BLVD TO W BAY TO BAY BLVD
tpa-5e6b556a2a09af,tpa-0db9b0ea2daa64,connected_exact_normalized_project_names_across_capital_layers,LOIS AVE
tpa-8f4df0fcb5d67e,tpa-0db9b0ea2daa64,connected_exact_normalized_project_names_across_capital_layers,LOIS AVE
tpa-11d1530a0cd010,tpa-0e542856d02973,connected_exact_normalized_project_names_across_capital_layers,CHURCH ST FM EXTENSION
tpa-3a97affa57f773,tpa-0e542856d02973,connected_exact_normalized_project_names_across_capital_layers,CHURCH ST FM EXTENSION
tpa-220fdc687da0f3,tpa-10719fa88c8a1d,connected_exact_normalized_project_names_across_capital_layers,FRANKLIN ST AND FORT BROOKE GARAGE BLANK OUT SIGNS
tpa-8010183b35ea30,tpa-10719fa88c8a1d,connected_exact_normalized_project_names_across_capital_layers,FRANKLIN ST AND FORT BROOKE GARAGE BLANK OUT SIGNS
tpa-3ec2201a4c6965,tpa-171058db0c4c5c,connected_exact_normalized_project_names_across_capital_layers,WASTEWATER PUMPING STATION REHABILITATION PRESCOTT PS
tpa-61d49619c3117c,tpa-171058db0c4c5c,connected_exact_normalized_project_names_across_capital_layers,WASTEWATER PUMPING STATION REHABILITATION PRESCOTT PS
tpa-919295c598e2bb,tpa-1d4651d0b0d880,connected_exact_normalized_project_names_across_capital_layers,122ND STREET PS FM REPLACEMENT
tpa-ce614b93911ae1,tpa-1d4651d0b0d880,connected_exact_normalized_project_names_across_capital_layers,122ND STREET PS FM REPLACEMENT
tpa-25f685186f2879,tpa-224cc398cbea00,connected_exact_normalized_project_names_across_capital_layers,BUSCH BLVD TRUNK SEWER REHABILITATION BY CIPP LINING
tpa-5ea91e2b5b3df6,tpa-224cc398cbea00,connected_exact_normalized_project_names_across_capital_layers,BUSCH BLVD TRUNK SEWER REHABILITATION BY CIPP LINING
tpa-0f1d5ffcb14bad,tpa-2695ad6313af38,connected_exact_normalized_project_names_across_capital_layers,CASS ST DRAWBRIDGE IMPROVEMENTS
tpa-7454611cd6f5f3,tpa-2695ad6313af38,connected_exact_normalized_project_names_across_capital_layers,CASS ST DRAWBRIDGE IMPROVEMENTS
tpa-08b385adcd1187,tpa-276e29cc0bfd56,connected_exact_normalized_project_names_across_capital_layers,BROREIN ST BRIDGE 105501 PHASE 2 MECHANICAL ELECTRICAL REHABILITATION
tpa-831ee1eb8d7846,tpa-276e29cc0bfd56,connected_exact_normalized_project_names_across_capital_layers,BROREIN ST BRIDGE 105501 PHASE 2 MECHANICAL ELECTRICAL REHABILITATION
tpa-42c75447278a2d,tpa-287723afdc6d7a,connected_exact_normalized_project_names_across_capital_layers,TWIGGS ST ASHLEY DR TO NEBRASKA AVE
tpa-c4717b01dfbaab,tpa-287723afdc6d7a,connected_exact_normalized_project_names_across_capital_layers,TWIGGS ST ASHLEY DR TO NEBRASKA AVE
tpa-09bd21b5c0ec62,tpa-28a7af3a4fd198,connected_exact_normalized_project_names_across_capital_layers,PATHWAYS TO PALMETTO DESIGN BUILD
tpa-890d7d633850e9,tpa-28a7af3a4fd198,connected_exact_normalized_project_names_across_capital_layers,PATHWAYS TO PALMETTO DESIGN BUILD
tpa-1a1b36619ccf12,tpa-2b64f75f74fca0,connected_exact_normalized_project_names_across_capital_layers,S HIMES WM R R
tpa-416967a3dfd15a,tpa-2b64f75f74fca0,connected_exact_normalized_project_names_across_capital_layers,S HIMES WM R R
tpa-6d44ef2c083230,tpa-2d2d1c36584495,connected_exact_normalized_project_names_across_capital_layers,LAKE FOREST 1 PUMPING STATION REHABILITATION YEAR 2
tpa-81be9351807946,tpa-2d2d1c36584495,connected_exact_normalized_project_names_across_capital_layers,LAKE FOREST 1 PUMPING STATION REHABILITATION YEAR 2
tpa-5704747fed2940,tpa-2d56f56a338d90,connected_exact_normalized_project_names_across_capital_layers,WASTEWATER PUMPING STATION REHABILITATION 109TH ST PS
tpa-c67f6cfa6ae6be,tpa-2d56f56a338d90,connected_exact_normalized_project_names_across_capital_layers,WASTEWATER PUMPING STATION REHABILITATION 109TH ST PS
tpa-5432cfdd4fa281,tpa-2ed8da642d70ff,connected_exact_normalized_project_names_across_capital_layers,CASS ST BRIDGE 105502 ELECTRICAL MECHANICAL REHABILITATION
