city_project_id,budget_book_context_record_ids,budget_book_record_count,activity_id,master_project_id,comparison_status,match_method,budget_book_status,core_status,budget_book_project_name,core_project_name,observed_at_utc
0,,0,tpa-5ab0e5aba72288,mp-58f1e03548254768,core_capital_only,no_exact_identifier_match,,Closeout,,O'Brien St - Segment 1 (Cypress St. to Spruce St.),2026-08-28T04:55:51+00:00
0000000,,0,tpa-574607026a01c5;tpa-5a1b25a7e88ea2;tpa-5b2d9339506c9f;tpa-8f56c0e5fdf2b4;tpa-97eda886278a0b,mp-0bedff311df10a42;mp-1dcdc8c5eb46da59;mp-64e4aa1fedc4acb2;mp-805eb4815b13ce8e;mp-bfd693e778622912,core_capital_only,no_exact_identifier_match,,,,,2026-08-28T04:55:51+00:00
0000006,bbp-bb76fb6a0b337d3a,1,,,budget_book_only,no_exact_identifier_match,Cancelled,,Spruce St Corridor (Hesperides St to Himes Ave),,2026-08-28T04:55:51+00:00
0000082,bbp-07f63d61356cd208,1,,,budget_book_only,no_exact_identifier_match,,,Laurel Street Bridge Rehabilitation,,2026-08-28T04:55:51+00:00
0000088,bbp-46f4c3022c95d617,1,,,budget_book_only,no_exact_identifier_match,Closeout,,West Shore Boulevard and Gandy Boulevard,,2026-08-28T04:55:51+00:00
0000289,bbp-5fec847ea4de8db2,1,,,budget_book_only,no_exact_identifier_match,,,North O'Brien Street Improvements,,2026-08-28T04:55:51+00:00
0000294,bbp-6e1a0dd956de099f,1,,,budget_book_only,no_exact_identifier_match,,,Kennedy Boulevard & Dale Mabry Highway Intersection Improvements,,2026-08-28T04:55:51+00:00
0000374,bbp-2a6557bc0e19f33a,1,,,budget_book_only,no_exact_identifier_match,Closeout,,Louisiana Avenue Pumping Station Rehabilitation,,2026-08-28T04:55:51+00:00
1000145,bbp-b92c60dd1f49c517,1,,,budget_book_only,no_exact_identifier_match,Closeout,,McKay Bay Transfer Station Renovation/Expansion Phase I,,2026-08-28T04:55:51+00:00
1000147,bbp-4078d431257e502e,1,,,budget_book_only,no_exact_identifier_match,,,Wayne C. Papy Recreation Center Renovations,,2026-08-28T04:55:51+00:00
1000151,bbp-9ae9e9f87bae955f,1,,,budget_book_only,no_exact_identifier_match,Closeout,,43rd Street Outfall Regional Drainage Improvements,,2026-08-28T04:55:51+00:00
1000178,bbp-08dd0f280183b639,1,,,budget_book_only,no_exact_identifier_match,,,"Upper Peninsula Flooding Relief, Phase II - Vasconia Outfall",,2026-08-28T04:55:51+00:00
1000248,bbp-2bb21d73e253a87c,1,tpa-71346c0bba0c2c,mp-2823ebae0582ecf1,matched_core_activity,exact_city_project_id,90% Design Completion,90% Design Completion,Brorein St Bridge (#105501) Phase 1 Structural Rehabilitation,Brorein St Bridge (#105501) Phase 1 Structural Rehabilitation,2026-08-28T04:55:51+00:00
1000254,bbp-e7268f5dc633592b,1,,,budget_book_only,no_exact_identifier_match,Closeout,,"Green Spine Cycle Track, Segment 2B",,2026-08-28T04:55:51+00:00
1000260,bbp-45f5e05c55a4a3b1,1,,,budget_book_only,no_exact_identifier_match,,,Complete Streets - Willow Avenue,,2026-08-28T04:55:51+00:00
1000386,bbp-4a2e02fe88667221,1,,,budget_book_only,no_exact_identifier_match,,,Watrous Ditch Rehabilitation,,2026-08-28T04:55:51+00:00
1000433,bbp-8c4d66def3b4841d,1,,,budget_book_only,no_exact_identifier_match,Closeout,,University Pumping Station Replacement,,2026-08-28T04:55:51+00:00
1000446,bbp-107732c6d6e12ed3,1,tpa-2ed8da642d70ff,mp-4ca9962761cd97bd,matched_core_activity,exact_city_project_id,90% Design Completion,90% Design Completion,Cass St Bridge (#105502) Electrical/Mechanical Rehabilitation,Cass St Bridge (#105502) Electrical/Mechanical Rehabilitation,2026-08-28T04:55:51+00:00
1000490,bbp-b1fd81afaea80f62,1,,,budget_book_only,no_exact_identifier_match,,,Solid Waste CNG Station,,2026-08-28T04:55:51+00:00
1000498,bbp-2b972b2d6dc39607,1,,,budget_book_only,no_exact_identifier_match,,,"Cass Street/North A Street CIAC, Phase 4",,2026-08-28T04:55:51+00:00
