context_record_id,city_project_id,activity_id,master_project_id,project_name,description,rationale,project_type,fiscal_year,budget_year,funding_source,funded_status,planned_start_date,planned_end_date,actual_start_date,actual_end_date,project_phase,status,estimated_cost_usd,reported_actual_cost_usd,contract_number,department_project_number,activity_status,neighborhood,council_district,cra,project_document_url,project_site_url,source_record_last_edited_at_utc,source_url,observed_at_utc,geometry_geojson
bbp-2e4dac20fccd31b8,1001018,,,Cypress Street Outfall Regional Stormwater Improvements,"This project provides for the construction of a box culvert system extending from North Boulevard and Cass Street west along Cass Street, and then south along Rome Avenue to Kennedy Boulevard.",Flooding Relief/ water quality improvement,Stormwater Engineering,2020,2022,Stormwater Improvement Fee,Yes,2020-01-02,2022-04-30,2020-01-02,,P5: Closeout,Closeout,33000000,,17-C-00003,SW40002,C2.1-Construction,North Hyde Park,5,West Tampa,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001018.pdf,2022-05-05T13:17:23+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.47720189538508,27.949535266704814]}"
bbp-9ae9e9f87bae955f,1000151,,,43rd Street Outfall Regional Drainage Improvements,This project provides for the construction of a detention pond and conveyance systems will be completed in subsequent years. This project is co-funded by SWFWMD and is phased over multiple years.,Flooding Relief/ water quality improvement,Stormwater Engineering,2019,2022,Stormwater Improvement Fee,Yes,2019-09-16,2021-02-28,2019-09-17,2021-02-22,P5: Closeout,Closeout,7236075,6787351.27,18-C-00009,SW50001,C3.1-Financial Closeout,East Side Commercial,5,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000151.pdf,2022-06-24T17:53:08+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.41076488175213,27.96042653410299]}"
bbp-46a2a8b068c9bbfd,1000738,,,San Carlos Street Pumping Station Rehabilitation,"This project provides for the rehabilitation of the San Carlos pumping station. Project will include replacement of pumps, motor, piping, valves, electrical and control systems, and other station improvements.",Rehabilitation of wastewater infrastructure,Wastewater,2020,2022,PIPES,Yes,2020-03-31,2021-05-31,2019-09-24,,P5: Closeout,Closeout,13213006,,16-C-00026,WW1000738,,Sunset Park,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000738.pdf,2022-06-24T17:53:08+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.5185954382589,27.923626993897024]}"
bbp-2b6f0c26fcf89385,1001585,tpa-7657433ed52a64,mp-d5b2b73c2cdcebe0,Manhattan: Vasconia to Obispo Flooding Relief-Phase 1,This project consists of design and construction of a new drainage conveyance system as well as the replacement and upsizing of the existing drainage conveyance system in a residential neighborhood in the City of Tampa. During normal rain events the area experiences street flooding due to an old and undersized drainage system. This project will also consist of new watermain upgrades along the corridor.,Flooding Relief,Stormwater Engineering,2025,2022,Stormwater Improvement Fee,Yes,2025-08-01,2026-11-30,,,P4: Construction,Construction in Progress,6800000,,24-C00039,SW50004,,Belmar Gardens,4,,https://www.tampa.gov/project/SW50004,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001585.pdf,2022-09-22T19:25:42+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.51794733869582,27.913111395812397]}"
bbp-a7c6928f52282153,1001588,tpa-a852e71c9df8b3,mp-3d4fbd1e5b7cf7e9,"Hyde Park Groundwater Diversion Ph 2 (New Port, Willow, Orleans, and Watrous Groundwater Diversions)",The City of Tampa’s Hyde Park Groundwater Diversion Project includes installing an underdrain system to intercept groundwater and divert it to the existing storm sewer system along Bayshore Boulevard. These improvements may cause temporary inconveniences while construction activities are being performed. The City and their construction partners are committed to minimizing these impacts and providing citizens with sustainable solutions that will enhance the quality of life for all residents.,Groundwater Diversion/Flooding Relief,Stormwater Engineering,2024,2022,Stormwater Improvement Fee,Yes,2023-10-09,2025-10-02,,,P5: Closeout,Closeout,3000000,,,SW50003,,Hyde Park Preservation,4,,https://www.tampa.gov/project/sw50003,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001588.pdf,2022-10-12T13:49:07+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.47174995185964,27.932564418817755]}"
bbp-de4fdb5118a0bc38,1001420,,,56th Street & Broadway Avenue Flooding Relief,"This project provides for a new stormwater pond that will provide water quality treatment and attenuation for the area, and the relocation, replacement and upsizing of pipes and ditches.",Flooding Relief/ water quality improvement,Stormwater Engineering,2024,2022,Stormwater Improvement Fee,Yes,2024-05-01,2025-05-01,,,P2: Design,Cancelled,2000000,,,SW50005,,East Side Commercial,5,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001420.pdf,2022-09-22T14:22:22+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.39243845561965,27.962650517006402]}"
bbp-6b715f24c05850c4,1001171,tpa-5a2f97b3a412d4,mp-5db1f3cd4dba79f8,Lamb Canal Rehabilitation & Flood Relief,The Lamb Canal has experienced significant erosion over the years and is in need of rehabilitation. Embankment deterioration has reduced the canal’s capacity and increased the risk of further erosion.This project will remove accumulated sediment and stabilize the canal banks in targeted areas to prevent future erosion and help restore capacity. A future phase may include replacing and upsizing the drainage pipes at W. Bay to Bay Boulevard and S. Manhattan Avenue to help alleviate frequent nuisance flooding at the intersection.,Flooding Relief,Stormwater Engineering,2028,2022,Stormwater Improvement Fee,Yes,2026-11-30,2027-05-30,,,P1: Planning,Planning,6800000,,,SW50006,,Sunset Park,4,,https://www.tampa.gov/project/sw50006,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001171.pdf,2022-09-22T14:30:09+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.5225338076839,27.917513304781444]}"
bbp-f52e99b7710fde76,1001527,tpa-55828ee72706f4,mp-de15e43fa74c3463,Lantana-Poinsettia Pump Station,This project provides for property acquisition and construction of a new collection system and new pump station to replace the temporary pump and force main connecting the existing drainage system on North 11th Street.,Flooding Relief,Stormwater Engineering,2027,2022,Stormwater Improvement Fee,Yes,2027-01-04,2028-01-03,,,P2: Design,90% Design Completion,1100000,,,SW50007,,North Tampa Community,5,,https://www.tampa.gov/project/sw50007,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001527.pdf,2022-10-06T18:34:17+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.4470057692265,28.04199158550168]}"
bbp-74882d1e9155aa50,1001587,,,Beach Park Drainage Improvements,This project provides for the construction of new pipes and inlets connecting to the existing system on Swann Avenue to alleviate flooding in the area.,Flooding Relief,Stormwater Engineering,2022,2022,Stormwater Improvement Fee,Yes,2022-05-05,2023-10-23,,,P5: Closeout,Closeout,1000000,,21-C-00017,SW50002,,Beach Park,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001587.pdf,2022-10-06T18:00:53+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.52428721745194,27.93859182285072]}"
bbp-5df2a10381be7d08,1001951,,,El Portal and Newport Avenue Pumping Station,This project provides for construction of a new pumping station and force main connecting to the existing drainage system.,Flooding Relief,Stormwater Engineering,2021,2022,Stormwater Improvement Fee,Yes,2021-09-13,2022-07-01,,,P5: Closeout,Closeout,325000,,ST-21-395-0012,SW50008,,Lowry Park Central,6,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001951.pdf,2022-07-01T12:32:14+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.46884595755225,28.03288019122149]}"
bbp-cc15bc053caf5535,1001949,,,4801 Neptune Way,"This project provides for relocating and upgrading the existing piping system, installation of new inlets, and construction of a new outfall.",Flooding Relief,Stormwater Engineering,On Hold,2022,Stormwater Improvement Fee,Yes,,,,,P2: Design,30% Design Completion,500000,,,SW50025,,Beach Park,6,,https://www.tampa.gov/project/sw50025,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001949.pdf,2022-10-06T18:24:35+00:00,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,"{""type"":""Point"",""coordinates"":[-82.52424840960609,27.94050108991185]}"
