event_id,activity_id,master_project_id,source_record_key,source_record_id,event_type,event_date,source_status_raw,normalized_stage,evidence_url,source_name,observed_at_utc,evidence_strength,is_inferred,source_field,event_value,interpretation_note
evt-00a186907e15c441,tpa-b4ad70f73e1d4b,mp-ce7aa36ac6b9bc5e,src-e3b686a5e6f84952,BDE-19-0439891,source_record_observed,,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00M0I&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_source_observation,no,source feature,Issued,Records the source state at retrieval; it is not a lifecycle outcome by itself.
evt-4bb373b1d15676b9,tpa-b4ad70f73e1d4b,mp-ce7aa36ac6b9bc5e,src-e3b686a5e6f84952,BDE-19-0439891,application_filed,2019-04-24,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00M0I&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_reported_date,no,OPENED_DATE/CREATEDDATE,2019-04-24,Administrative filing/opened date; it does not establish approval or construction.
evt-62ba4c7a73c2295b,tpa-b4ad70f73e1d4b,mp-ce7aa36ac6b9bc5e,src-e3b686a5e6f84952,BDE-19-0439891,permit_issued_reported,,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00M0I&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_source_observation,no,PROJECTSTATUS,Issued,Source reports Issued but does not expose a dedicated issuance date in this layer.
evt-fe303b8a48eb950d,tpa-1c60135caff5ef,mp-179581d4124c2ed1,src-cbebb821312e2f46,BDE-19-0439904,source_record_observed,,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00N0B&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_source_observation,no,source feature,Issued,Records the source state at retrieval; it is not a lifecycle outcome by itself.
evt-a65143aa521b9aef,tpa-1c60135caff5ef,mp-179581d4124c2ed1,src-cbebb821312e2f46,BDE-19-0439904,application_filed,2019-04-23,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00N0B&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_reported_date,no,OPENED_DATE/CREATEDDATE,2019-04-23,Administrative filing/opened date; it does not establish approval or construction.
evt-f5655eee72cdb634,tpa-1c60135caff5ef,mp-179581d4124c2ed1,src-cbebb821312e2f46,BDE-19-0439904,permit_issued_reported,,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00N0B&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_source_observation,no,PROJECTSTATUS,Issued,Source reports Issued but does not expose a dedicated issuance date in this layer.
evt-3fe1788b837b5a78,tpa-537870730398a5,mp-9b1459bc1ec459b3,src-819c6041b0175fa9,BDE-19-0440176,source_record_observed,,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=01EET&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_source_observation,no,source feature,Issued,Records the source state at retrieval; it is not a lifecycle outcome by itself.
evt-f3b186b32974a7b7,tpa-537870730398a5,mp-9b1459bc1ec459b3,src-819c6041b0175fa9,BDE-19-0440176,application_filed,2019-09-11,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=01EET&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_reported_date,no,OPENED_DATE/CREATEDDATE,2019-09-11,Administrative filing/opened date; it does not establish approval or construction.
evt-9483471d31f212a1,tpa-537870730398a5,mp-9b1459bc1ec459b3,src-819c6041b0175fa9,BDE-19-0440176,permit_issued_reported,,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=01EET&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_source_observation,no,PROJECTSTATUS,Issued,Source reports Issued but does not expose a dedicated issuance date in this layer.
evt-7d65502ea8da98ef,tpa-0bf09d096000ed,mp-3480f5c5a13a1408,src-dc2d864712623746,BDE-20-0440255,source_record_observed,,Issued,permit_or_funding_approved,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=01P4D&agencyCode=TAMPA,construction_inspections,2026-08-23T02:06:02+00:00,official_source_observation,no,source feature,Issued,Records the source state at retrieval; it is not a lifecycle outcome by itself.
