master_project_id,project_name,address,activity_count,entity_resolution_status
mp-188f555dedc4818a,Expedited Project,4202 N 34TH St,1,provisional_singleton
mp-7a47afed8880d07f,Reissue -Owner - 1st Fl Bathroom,713 S FIELDING Ave,1,provisional_singleton
mp-d222948fe4efa0e1,REISSUE - Garage Addition / driveway,5224 S SHERIDAN Rd,1,provisional_singleton
mp-413cb4d3c81fe1ee,REISSUE,1812 W WATROUS Ave,1,provisional_singleton
mp-41353459bf4463a4,Reissue - OWNER - RESIDENTIAL ADDITION,719 W Woodlawn Ave,1,provisional_singleton
mp-c09c33764637beb3,Corridor Modification,500 E Kennedy Blvd,1,provisional_singleton
mp-155c4161f0e0d1a7,REISSUE - Interior Build Resturant,5229 N Florida Ave,1,provisional_singleton
mp-a96f05ba4e23784c,Reissue: RESID ADDN,1505 W Hamilton Ave,1,provisional_singleton
mp-217c1c583fb4ce1c,Reissue New SFR,8414 N Dixon Ave,1,provisional_singleton
mp-b3673123ac67104d,2nd fl:remodel,500 E Kennedy Blvd,1,provisional_singleton
mp-38eca0398f6ed5dd,REISSUE: GreenRoots,4034 W Kennedy Blvd,1,provisional_singleton
mp-9ee518e043c71db3,Reissue/Secured: Renovation 5th Lobby Area,700 E Twiggs St,1,provisional_singleton
mp-885527159ae86813,Reissue: Addition,336 Columbia Dr,1,provisional_singleton
mp-a576700923d7e165,REISSUE: Interior Remodel,2225 E 109th Ave,1,provisional_singleton
mp-2aadeb3dc3710338,"Reissue - Bathroom remodel, AC, ELE rewire, PLB 6017 N Orange Blossom Ave (ACA)",6017 N Orange Blossom Ave,1,provisional_singleton
mp-d27e5e74ed58b0a7,Reissued - Interior Renovations 919 S Rome Ave (ACA),919 S Rome Ave,1,provisional_singleton
mp-65edfe0632209ffd,Reissue - 14th flr - build out,610 N Morgan St,1,provisional_singleton
mp-afac91ee7907d4d4,Expedited Project,601 S Harbour Island Blvd,1,provisional_singleton
mp-7f8172509d3a5be9,Reissue: Interior/exterior renovation,2444 W Neptune St,1,provisional_singleton
mp-e797d2836e307bc4,Reissue-Residential Remodel,3503 E Martin Luther King Blvd,1,provisional_singleton
mp-c6d19d2d95dd7f5a,REISSUE: 2nd Flr Interior Renovation Change of Use 1915 N Av Republica De Cuba (ACA),1915 N Av Republica De Cuba,1,provisional_singleton
mp-5d685119552a5033,Facilitated Project,2801 Bayshore Blvd,1,provisional_singleton
mp-ff62f2f794db9526,res addition,901 S Fremont Ave,1,provisional_singleton
mp-46408a994655755b,REISSUE: Private Provider Interior Renovation,1902 E 7th Ave,1,provisional_singleton
mp-7676755dd829a7dc,Accelerated Project,1925 E 2nd Ave,1,provisional_singleton
mp-298b3107516ca84e,Reissue - UNIT#1112,2401 Bayshore Blvd,1,provisional_singleton
mp-713fc90529b7138f,Reissue: non structural remodel,3909 W Palmetto St,1,provisional_singleton
mp-5792c7030105daf5,Re-issue:UNIT#206,2525 E Hillsborough Ave,1,provisional_singleton
mp-eeb320163cce309e,"OWNER: Re-issued Mstr bed and bath addition, renovation",3921 W Palmira Ave,1,provisional_singleton
mp-7ee13686effb0cbc,Re-opened New SFR,4011 W San Rafael St,1,provisional_singleton
mp-1d250c1dd7d33051,ReissueOwner: FEMA Substantial Improvement,810 Grove Park Ave,1,provisional_singleton
mp-eb6a6b01920d94be,Bathroom Remodel - MEPs for ADA Compliance,4910 E Busch Blvd,1,provisional_singleton
mp-b2bb39cc87a8f9a8,Re-opened Res remodel,6308 S Cameron Ave,1,provisional_singleton
mp-fab60d0c35f199b3,REISSUE - New loft,4811 E River Hills Dr,1,provisional_singleton
mp-57cbef6d7452cd3c,PRIVATE PROVIDER - Renovation of 1st -5th floor guestroom corridors and guest rooms,2225 N Lois Ave,1,provisional_singleton
mp-ebabbde65852fa52,remodel,114 W Amelia Ave,1,provisional_singleton
mp-e0b32f37d4fbd6f0,SEC: Starbucks & Retail Int/Ext Renovation,700 S Florida Ave,1,provisional_singleton
mp-a065b1e02882e050,REISSUE - Res Remodel,2722 W Terrace Dr,1,provisional_singleton
mp-5ff8d89835d1fd4e,Re-issued Bathroom Remodel,4108 W Santiago St,1,provisional_singleton
mp-214eee658c5f7796,Reissued---New sfr,2112 E Annona Ave,1,provisional_singleton
mp-15db5cf7ce5059fb,Re-issued Interior Remodel,855 Bayshore Blvd,1,provisional_singleton
mp-c51022909e5a97c8,Reissue : Addition & Replace Trusses 1415 E Busch Blvd (ACA),1415 E Busch Blvd,1,provisional_singleton
mp-992682691f9cf0a1,Re-opened Addition/remodel,801 W Orient St,1,provisional_singleton
mp-7dbb1f9df4f06b70,Facilitated Project,5050 Bridge St,1,provisional_singleton
mp-079c531e994be3dc,Reissue - Interior/exterior remodel,1204 Culbreath Isles Dr,1,provisional_singleton
mp-5aab6274d08765cc,Owner: Reissue - New Storage & Driveway,3618 E Wilder Ave,1,provisional_singleton
mp-79b19116c6577873,New SFR,3317 W San Pedro St,1,provisional_singleton
mp-222e02e0725ddcad,Facilitated Project,5145 S Dale Mabry Hwy,1,provisional_singleton
mp-2178680205563adc,Re-issued Owner-Addition/Remodel,2730 W Louisiana Ave,1,provisional_singleton
mp-582e9bec75e146f1,Reissue - 1STFL LOBBY,1120 E Kennedy Blvd,1,provisional_singleton
mp-85d5218534357e69,Renovation int / ext,502 W Grand Central Ave,1,provisional_singleton
mp-3467c8338c0d94cc,Re-issued Remodel,2306 S Lila Ln,1,provisional_singleton
mp-276c774e371bdd80,Reissue - PRIVATE PROVIDER:DOUBLETREE BY HILTON,3050 N Rocky Point Dr W,1,provisional_singleton
mp-cb469c6ae4479267,Reissue: Addition and int/ext remodel,1509 S Arrawana Ave,1,provisional_singleton
mp-217919eab1b3d8e2,Secure - Escalators,651 Channelside Dr,1,provisional_singleton
mp-b9f6cbec86ef8bce,Owner:Remodel,2611 Bayshore Blvd,1,provisional_singleton
mp-b6a0ae2a67437d5d,Porch Addition,6014 River Ter,1,provisional_singleton
mp-e5e0ae133cb07289,Remodel - Remove Stairs and Add Elevator,1814 W Richardson Pl,1,provisional_singleton
mp-db7635522e0afd30,REISSUE - Alterations/room addition within existing footprint,3305 E 28th Ave,1,provisional_singleton
mp-c7c7442673a86860,int/ext remodel,3404 W McKay Ave,1,provisional_singleton
mp-d0ca3395a0797dba,Accelerated Project,214 N Boulevard,1,provisional_singleton
mp-f754f23c1c468cfb,REISSUE - Nonstructural Remodel,705 E Plymouth St,1,provisional_singleton
mp-8c1f3c34d79a7e70,Garage,3120 W San Jose St,1,provisional_singleton
mp-b23fe3a20e890217,Bathroom remodel unit C,2023 S Carolina Ave,1,provisional_singleton
mp-cd9fc3d2c07410fc,Interior Remodel - Corridor Extension,915 N Franklin St,1,provisional_singleton
mp-29c903b244f5d84a,Remodel - Re-roof,4418 Atwood Dr,1,provisional_singleton
mp-5c50db5b51952194,REISSUED - Exterior Renovation,6310 N Florida Ave,1,provisional_singleton
mp-d2386d49cd77efc9,Addition,2106 S Occident St,1,provisional_singleton
mp-bbc04e4b772eb7bf,Exterior Alteration,727 W Cass St,1,provisional_singleton
mp-df40e651ae1a9048,Accelerated Project,777 N Ashley Dr,1,provisional_singleton
mp-8968c9b2819709b5,Reissue: addition,6204 S Elberon St,1,provisional_singleton
mp-2845acdfb085163b,REISSUE - Addition & Remodel,2530 W Pine St,1,provisional_singleton
mp-ce10f3b94df69943,REISSUE - Owner: New SFR,1309 E North Bay St,1,provisional_singleton
mp-a348b061e0886e49,REISSUE - Remodel,6206 S Church Ave,1,provisional_singleton
mp-8b9c3fc056364459,Expedited Project,3371 W Wyoming Cir,1,provisional_singleton
mp-ad1e6e4403b91833,Re-issued Owner: Residential addition: Permit under 6th edition.,2112 W Powhatan Ave,1,provisional_singleton
mp-c98124066bcee19d,REISSUE - OWNER - Addition/ alteration,3610 W Cass St,1,provisional_singleton
mp-a57764dc07b2a102,Re-issued Reissue - Interior Structural Remodel with - EL-PL,2908 N 13th St,1,provisional_singleton
mp-9dc9456443fa4476,REISSUE - OWNER: Porch to Living Space,3907 W Palmetto St,1,provisional_singleton
mp-1a610417babbc909,OWNER:Porch and Remodel,3412 N 53rd St,1,provisional_singleton
mp-4a52aa358581a88e,REISSUE - new SFR,4003 E Grove St,1,provisional_singleton
mp-f7fb6f73a6bf1b59,Reissue: room remodel due to fire,4605 Booker T Dr,1,provisional_singleton
mp-830ceaed61e049b8,PRIVATE PROVIDER: Interior renovation,3515 E Columbus Dr,1,provisional_singleton
mp-f7924f5226b9f87a,SITE/FDTN:13 units - new single family attached,4515 W North A St,1,provisional_singleton
mp-f82a1f1e7c0060f6,Reissue - White box,19910 Bruce B Downs Blvd,1,provisional_singleton
mp-51efd1e11af043c4,New Apartments ( 6th Edition),5111 E 15th Ave,1,provisional_singleton
mp-dd44c0cbb2d018ed,Interior Reno Unit 1503,3301 Bayshore Blvd,1,provisional_singleton
mp-6156e286e55ce4d4,Interior and exterior remodel,1308 N 34th St,1,provisional_singleton
mp-d39a158101752ffa,PRIVATE PROVIDER:Shell/ Complete: North A Townhomes,4515 W North A St,1,provisional_singleton
mp-f76a8b5b109092cf,Reissue: addition,1317 E Norfolk St,1,provisional_singleton
