parcel_activity_link_id,activity_id,master_project_id,folio,pin,site_address_normalized,link_method,link_evidence,link_confidence,valid_from,valid_to,review_status,source_url,observed_at_utc
pal-87a12adf7c2ee428,tpa-000f7ef41912eb,mp-131427346bf7ab69,118585.0000,A-27-29-18-3QA-000006-00008.0,1615 S ARRAWANA AVE,building_footprint_folio,nearest_footprint_within_35m,medium,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
pal-b58fd229b3180824,tpa-0031dc58b3fc1d,mp-a84ccb0bcff988c2,106523.0000,A-03-29-18-ZZZ-000005-44250.0,3001 W DR MARTIN LUTHER KING JR BLVD,building_footprint_folio,exact_address_nearby_footprint,high,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
pal-82e0b9452695e455,tpa-004781f08704b8,mp-e2f1a6685b3ca037,131512.0000,A-08-30-18-3XF-000009-00030.0,4421 W TRILBY AVE,building_footprint_folio,nearest_footprint_within_35m,medium,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
pal-c2f54cdef9a05b1d,tpa-0051208ccc93a4,mp-62ca3ac4a4128afa,117129.0000,A-22-29-18-3OA-000030-00001.G,208 N GLEN AVE,building_footprint_folio,nearest_footprint_within_35m,medium,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
pal-b839056aedeacb48,tpa-0055e806d2e998,mp-de0395dcb3e3ef29,117558.0000,A-27-29-18-3PB-000000-00040.0,2534 W SUNSET DR,building_footprint_folio,point_in_building_footprint,high,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
pal-fc94202f6c135991,tpa-009358e75a4788,mp-26d906e80a65aae6,122226.0000,A-32-29-18-3TD-000000-00170.0,5121 W SAN JOSE ST,building_footprint_folio,nearest_footprint_within_35m,medium,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
pal-f0c9545340637552,tpa-00a7e626430c84,mp-8ab518e5cf32751f,153400.0000,A-33-28-19-48Y-000000-00027.1,6214 N 42ND ST,building_footprint_folio,nearest_footprint_within_35m,medium,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
pal-39b931355f232f37,tpa-01b2a34710d1f7,mp-0592b15dccc31f02,121805.0000,A-32-29-18-3T7-000020-00002.0,4806 W SAN JOSE ST,building_footprint_folio,nearest_footprint_within_35m,medium,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
pal-b923d39211791898,tpa-01e213f7ecde92,mp-5af59320c3ed6a18,185919.0000,A-26-29-18-4TW-000000-00001.0,1802 W HILLS AVE,building_footprint_folio,point_in_building_footprint,high,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
pal-863ce88703e0f5f0,tpa-02712c409b5cf5,mp-f5fb22c11124a5b8,123797.0000,A-33-29-18-3TP-000052-00017.0,3615 W TACON ST,building_footprint_folio,nearest_footprint_within_35m,medium,,,pending_human_review,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28T04:55:51+00:00
