activity_id,location_id,building_object_id,folio,strap,building_id,building_address,year_built,gross_area_sqft,heated_area_sqft,residential_units,commercial_units,floor_count,match_method,match_confidence,match_distance_m,building_source_endpoint
tpa-1c60135caff5ef,loc-dad0e5dc0a022586,290531,114829.0000,1829213LJ000001000270A,,4312 W North A St,1987,1838,1582,3,,,nearest_footprint_within_35m,medium,15.68,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-5db1240255295f,loc-eb014c35f73ced0d,724524,145573.0000,19281945A000010000080A,,8710 N 15th St,,,,,,,nearest_footprint_within_35m,medium,14.61,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-ae9d6bf17e84d5,loc-d5b0f2c65fc1e768,413393,128906.0000,1830033WH000000000400A,,2910 W Bayshore Ct,1926,2694,2259,1,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-6746f1ed590f27,loc-d194474995073016,93248,121885.0000,1829323T7000024000020A,,2606 S Hawthorne Cir,1952,3337,2481,1,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-2c7fce8d93727e,loc-37e1f745e7187995,695416,195869.0000,182936509000073000060A,,627 Jamaica Ave,,,,,,,nearest_footprint_within_35m,medium,30.51,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-6792bf0f19a2e5,loc-0ce8078cbf04b080,95804,118877.0100,1829273QI000002000100A,,1905 S Holly Ln,1988,4825,3592,1,,,nearest_footprint_within_35m,medium,28.45,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-e0c176437aece9,loc-ca7131b0a0f341cd,770630,125419.0000,1829333U3000005000100A,,3822 W Corona St,,,,,,,nearest_footprint_within_35m,medium,25.21,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-b9f6e7ea28d9bb,loc-772a63159a1927a4,316367,169365.0000,1829364J6B00000000060A,,573 W Davis Blvd,1956,2989,2117,1,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-fbcb12458fa332,loc-56fd6f3f097ab828,317655,182448.0000,1829124QX000002000160A,,318 W Alfred St,,,,,,,nearest_footprint_within_35m,medium,17.25,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-cb9fd945906610,loc-98fb1966cab5af81,748371,104379.0000,1828353H0000002000180A,,2314 W Henry Ave,,,,,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-4b020af109acdb,loc-c9c4b61b9b8dcf69,52194,144447.0000,192819454000026000121A,,1906 E 97th Ave,1960,1436,1152,1,,,nearest_footprint_within_35m,medium,18.21,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-3b85917bae436a,loc-35cf79d0bbe72053,36099,126527.0000,1829343UI000066000020A,,3204 W Santiago St,,,,,,,nearest_footprint_within_35m,medium,15.87,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-350650b6bcc790,loc-730de0b0c6efbef8,688678,94636.0000,182918ZZZ000005345400A,,3000 Bayport Dr,,,,,,,exact_address_nearby_footprint,high,109.25,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-b741db146cd4a9,loc-0e7671656a8961e7,688423,190596.0100,1929204X6000015000020A,,2623 Marconi St,,,,,,,nearest_footprint_within_35m,medium,20.16,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-0f28f1007860a8,loc-cad58f03a72feb46,699246,118348.0000,1829273Q7000000000110A,,2514 W Morrison Ave,,,,,,,nearest_footprint_within_35m,medium,21.96,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-136ad8c47c4004,loc-ad96a789c4e90365,384302,162121.0000,1828364EK000006000030A,,6016 N Dexter Ave,1926,1446,1269,1,,,nearest_footprint_within_35m,medium,29.57,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-a451a431e8f568,loc-eed76c018d03a7b2,209057,166985.0000,1829114HA000021000010A,,1002 W Indiana Ave,1948,1714,1380,1,,,nearest_footprint_within_35m,medium,23.44,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-c08496c53917f7,loc-ae55583b7ff6cc00,312901,163436.0000,1828364FB000000004480A,,303 W Jean St,1925,1238,962,1,,,nearest_footprint_within_35m,medium,21.2,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-f43acd1c2d1b43,loc-fa6283160dab84c7,753441,179822.0022,182914B7Q000000000010A,,1555 W Main St,,,,,,,exact_address_nearby_footprint,high,26.37,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-a330fdd8b80b23,loc-875cea3f5450977f,296293,120646.0000,1829293SB000004000120A,,4510 W Brookwood Dr,1991,3763,3045,,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-9c2467bac37218,loc-03df4d425868a85a,168785,115914.0000,1829213ME000003000030A,,3604 W Dale Ave,2015,4441,3475,,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-8cb9d498d40d9a,loc-3ebe53ca1bdd0d00,355385,121139.0000,1829293SS000000000290A,,4915 W Melrose Ave,1957,2418,1808,1,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-09b8b1f5465cfb,loc-d0b1976a992dadcf,261262,184706.0000,1829234SK000002000110A,,406 S Oregon Ave,1989,1950,1836,,,,nearest_footprint_within_35m,medium,16.45,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-1ad199ceb72ea6,loc-9e1deaf065a95f7b,770103,127714.9002,1830033VK000000000010A,,2927 W Hawthorne Rd,,,,,,,exact_address_nearby_footprint,high,16.03,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-6815bd7dc0068d,loc-acfb51df50f771f9,601032,144936.0000,192819455000001000160A,,9401 N Margaret St,,,,,,,nearest_footprint_within_35m,medium,32.15,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-124ac81151ad48,loc-081630d626397070,83850,139111.0000,18302042J000191000150A,,7404 S Morton St,1999,1249,1200,1,,,nearest_footprint_within_35m,medium,18.45,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-a962984d63f12c,loc-3ea542c001331fb5,201863,117377.0000,1829263OO000009000120A,,1413 S Moody Ave,1981,1672,1020,,,,nearest_footprint_within_35m,medium,30.44,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-c074c2415d7715,loc-df59c929324b7dc6,747979,165147.0000,1829014GH000000001960A,,302 W Haya St,,,,,,,nearest_footprint_within_35m,medium,28.73,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-36b850bc5a14f3,loc-81ae1131f37a3083,107102,143957.0000,192818452000028000250A,,1410 E Chilkoot Ave,1991,1176,1176,,,,exact_address_nearby_footprint,high,21.22,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-955da9d41f111b,loc-cdf1075c1d57fe33,9773,113936.0000,1829293LA000038000140A,,4317 W Sylvan Ramble St,1955,2083,1653,1,,,exact_address_nearby_footprint,high,2.46,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-952689e7d57a44,loc-88f315d971945e68,589259,183207.0000,1829124RP000005000081A,,2710 N Jefferson St,,,,,,,nearest_footprint_within_35m,medium,15.71,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-5cd48e592e3d28,loc-fbe11da01716a2a8,313705,157578.0000,1929064B6000000000400A,,1709 E Louisiana Ave,2002,1891,1796,1,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-9541b1e715cfe0,loc-96361b9c20cee935,754543,122995.0000,1829323TN000008000050A,,3609 S Belcher Dr,,,,,,,nearest_footprint_within_35m,medium,22.38,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-7e19316a24edf7,loc-de89c34d87337ad1,750017,163486.0000,1828364FB000000005170A,,101 W Fern St,,,,,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-ff3b5ee254b6df,loc-fe1b2765fa3aa65a,296101,128235.0000,1830033VV000010000060A,,4616 S Woodlynne Ave,1942,1823,1590,1,,,nearest_footprint_within_35m,medium,18.19,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-0d888d986de3a9,loc-1d9815e94ae2c3d5,775290,109305.0000,1829103IV000000000422A,,4223 N Tampania Ave,,,,,,,nearest_footprint_within_35m,medium,27.29,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-996c1136a4abae,loc-aa94fd51696862a8,748217,104691.0000,1828353H1000003000360A,,2113 W Idlewild Ave,,,,,,,nearest_footprint_within_35m,medium,26.13,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-0c2a6281b39abd,loc-bfae1e7b3b5770e1,53391,101432.0100,1828263FB000000001290A,,8113 N Newport Ave,2016,1894,1404,,,,nearest_footprint_within_35m,medium,27.18,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-787c8433ac0b11,loc-8690964d28693e33,749903,162947.0000,1828364F5000000000040A,,207 W Hiawatha St,,,,,,,nearest_footprint_within_35m,medium,31.31,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-060e2b9ee13cb5,loc-108fecc99dc32936,726874,125324.0000,1829333U2000002000040A,,3604 W Leona St,,,,,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-f9b1960298f38e,loc-782bee5be08824d9,775994,167361.0000,1829114HD000041000050A,,910 W Fribley St,,,,,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-9612fd995b1f4d,loc-3709575e0d930fe3,702718,113405.0000,1829203L8000000000700A,,4501 W Azeele St,,,,,,,exact_address_nearby_footprint,high,5.68,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-3bcc0c2713c7a6,loc-ccd536514d3254f1,185593,136971.0000,183016ZZZ000005550500A,,4120 W Mango Ave,1976,6396,4452,,,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-36fa8e42a8df45,loc-b24ecbcad239fa14,251928,139107.0050,18302042J000191000100A,,7416 S Morton St,2005,2855,2208,1,,,nearest_footprint_within_35m,medium,16.18,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-bdf2b4e3a608fe,loc-18adb1b207a59882,209772,122634.0000,1829323TI000000000531A,,3444 S West Shore Blvd,1987,3000,3000,,1,,point_in_building_footprint,high,0.0,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
tpa-269ba92cdf0156,loc-1e190d43498a457c,691231,182600.0000,1829124R4000002000050A,,2923 N Tampa St,,,,,,,nearest_footprint_within_35m,medium,24.66,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Location/MapServer/0
