folio,pin,site_address,site_address_normalized,site_city,site_zip,parcel_type,land_use_code,year_built,remodel_year,building_area_sqft,parcel_area_acres,market_value_usd,building_value_usd,sale_date,sale_amount_usd,vacant_or_improved,stories,source_object_id,source_url,snapshot_date,observed_at_utc,geometry_geojson
100101.0000,A-24-28-18-3EN-000012-00033.0,8427 Highland Ave,8427 HIGHLAND AVE,Tampa,33604,,7500,1945,1985,1468,0.30,230900,96890,2018-07-23,146000,I,3,398725,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46238958616647,28.02682226794487],[-82.46239178906102,28.02654722376333],[-82.46198574097961,28.026548825048806],[-82.46198408854201,28.026755107962977],[-82.46198353806969,28.02682386923263],[-82.46238958616647,28.02682226794487]]]}"
100126.0000,A-24-28-18-3EN-000014-00003.0,8522 N Highland Ave,8522 N HIGHLAND AVE,Tampa,33604,,0100,2017,2021,1548,0.13,325342,251952,2022-11-01,375000,I,1,398754,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46252358584073,28.028760719237628],[-82.46288004711576,28.02875918769173],[-82.46288040552892,28.028717931388954],[-82.46288124148718,28.02862166668268],[-82.46252478066529,28.028623198226306],[-82.46252358584073,28.028760719237628]]]}"
100229.0000,A-24-28-18-3EO-000001-00012.0,8410 N Lynn Ave,8410 N LYNN AVE,Tampa,33604,,0100,1963,1994,1858,0.26,322404,164936,1999-06-30,31700,I,2,398865,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46427129243854,28.02633230609255],[-82.46462968706055,28.026332213703384],[-82.4646297626076,28.026194688311637],[-82.46462983816104,28.02605716381954],[-82.46427273597249,28.02605725815134],[-82.46427129243854,28.02633230609255]]]}"
100449.0100,A-24-28-18-3EO-000013-00017.0,8908 N Hamner Ave,8908 N HAMNER AVE,Tampa,33604,,0100,1985,2005,1016,0.15,198754,119952,2013-06-04,65000,I,1,399100,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46682971020178,28.03160331308421],[-82.46725410635086,28.0316076160378],[-82.46725534770587,28.031473789364785],[-82.46683095208192,28.031469486408625],[-82.46682971020178,28.03160331308421]]]}"
100522.0000,A-24-28-18-3EO-000017-00023.0,8902 N Ola Ave,8902 N OLA AVE,Tampa,33604,,0100,1979,2002,1496,0.13,204327,139172,2026-04-24,330000,I,1,399181,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46336312808688,28.03113618949245],[-82.46371958648565,28.031139049503203],[-82.46372081434708,28.031001528430114],[-82.46336435640156,28.030998668417052],[-82.46336312808688,28.03113618949245]]]}"
100691.0000,A-25-28-18-3ES-000001-00003.0,8210 N Ola Ave,8210 N OLA AVE,Tampa,33604,,0100,1958,1992,1322,0.23,253092,135092,2023-12-19,260000,I,1,400279,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.4634480265308,28.024777153086514],[-82.4639042379564,28.02478003820447],[-82.46381783271856,28.02457294252928],[-82.4634504642006,28.024571791531475],[-82.4634480265308,28.024777153086514]]]}"
100794.0000,A-25-28-18-3ET-000003-00016.0,8106 N Lynn Ave,8106 N LYNN AVE,Tampa,33604,,0100,1951,1951,860,0.29,185439,59448,2025-09-26,190000,I,1,400382,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46471096704936,28.022779551076386],[-82.46471391151051,28.02249076426295],[-82.46454230414409,28.022342157503246],[-82.46448605621379,28.022401897159448],[-82.46444804066749,28.022486593377003],[-82.46441680793657,28.022573445963186],[-82.4643925128056,28.02266202756304],[-82.46438725189056,28.022675904435754],[-82.46438473510642,28.022690374840003],[-82.46438503588053,28.02270501349633],[-82.46438814424339,28.02271939269969],[-82.4643939688971,28.02273309043413],[-82.46440234135642,28.022745707504452],[-82.46441301393413,28.022756872055055],[-82.46442567609272,28.02276625846527],[-82.46443995650121,28.022773592756817],[-82.46445543729507,28.022778657960107],[-82.46471096704936,28.022779551076386]]]}"
100894.0000,A-25-28-18-3EX-000000-00001.1,7901 N Boulevard,7901 N BLVD,Tampa,33604,,0100,1959,2005,1836,0.22,391549,280935,2016-03-17,195000,I,1,400477,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46740378290335,28.019900561972275],[-82.46771364765804,28.019903493695836],[-82.46771670597671,28.019642899238452],[-82.4674069644825,28.019639609744583],[-82.46740378290335,28.019900561972275]]]}"
100921.0000,A-25-28-18-3EY-000001-00005.0,810 W Whatley Pl,810 W WHATLEY PL,Tampa,33604,,0100,2018,2022,2321,0.16,461694,385318,2025-07-28,490000,I,1,400501,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46611047034779,28.018726972441957],[-82.46600044829091,28.01844764580646],[-82.46586830752496,28.018466138229808],[-82.46580530370632,28.018474961602653],[-82.46592432861367,28.018779314893234],[-82.46611047034779,28.018726972441957]]]}"
101096.0000,A-26-28-18-3F8-000002-00014.0,8121 N Orleans Ave,8121 N ORLEANS AVE,Tampa,33604,,0100,1950,1988,1752,1.20,479276,130117,2023-04-19,465000,I,2,400858,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.47160349638185,28.022613715687516],[-82.47313537886228,28.022624966783663],[-82.47313995048776,28.02233344100182],[-82.47160807112193,28.022322190811703],[-82.47160349638185,28.022613715687516]]]}"
101185.0000,A-26-28-18-3FA-000001-00005.0,7019 N Willow Ave,7019 N WILLOW AVE,Tampa,33604,,0100,1975,2000,912,0.13,159946,91176,2024-06-17,240000,I,1,400986,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.47230866531194,28.013912906240716],[-82.47195224890045,28.013912487211144],[-82.47195181637059,28.0140500130936],[-82.47230823322704,28.014050430313986],[-82.47230866531194,28.013912906240716]]]}"
101197.5000,A-26-28-18-3FA-000002-00023.0,7000 N Willow Ave,7000 N WILLOW AVE,Tampa,33604,,0100,1986,2013,1920,0.14,290357,217430,2013-07-16,96500,I,1,401002,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.47283374981177,28.012817051122497],[-82.47283370130776,28.012679525974914],[-82.47246179404169,28.01267940787307],[-82.47246184207326,28.01281693302656],[-82.47283374981177,28.012817051122497]]]}"
101223.0000,A-26-28-18-3FA-000004-00001.1,1504 W Hamilton Ave,1504 W HAMILTON AVE,Tampa,33604,,0100,1960,1992,1928,0.13,218535,147901,2001-08-03,84500,I,1,401033,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.47469325354257,28.01412503407333],[-82.47466226060925,28.01412502469519],[-82.47466223467188,28.014056261699892],[-82.47450727111912,28.014056214699625],[-82.47450737244162,28.014331265786232],[-82.47469332938046,28.014331322158974],[-82.47469325354257,28.01412503407333]]]}"
101347.0000,A-26-28-18-3FB-000000-00007.0,8316 N Boulevard,8316 N BLVD,Tampa,33604,,0100,1926,1995,978,0.14,195089,116370,2005-04-05,112500,I,1,401157,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46784301566973,28.02437241020348],[-82.46821031357769,28.024373164377938],[-82.46821032664678,28.024235639197475],[-82.46784302920175,28.02423488411503],[-82.46784301566973,28.02437241020348]]]}"
101432.0100,A-26-28-18-3FB-000000-00129.0,8113 N Newport Ave,8113 N NEWPORT AVE,Tampa,33604,,0100,2015,2020,1404,0.21,325599,213099,2006-10-26,145000,I,1,401257,https://arcgis.tampagov.net/arcgis/rest/services/Parcels/TaxParcel/FeatureServer/0,2026-08-28,2026-08-28T04:55:51+00:00,"{""type"":""Polygon"",""coordinates"":[[[-82.46999750457577,28.02279415818687],[-82.47038338201959,28.022796997990415],[-82.47038662121035,28.02259073032006],[-82.47000074450217,28.02258789051661],[-82.46999858489089,28.0227254022963],[-82.46999750457577,28.02279415818687]]]}"
