finance_event_id,activity_id,master_project_id,city_project_id,contract_number,event_type,event_date,fiscal_year,amount_usd,amount_direction,funding_source,resolution_number,source_document,source_url,observed_at_utc,source_record_last_edited_at_utc,evidence_strength,is_inferred,interpretation_warning
fin-6fb9b069194c6af2,,,1001018,17-C-00003,capital_estimate_reported,,2020,33000000,reported_level,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001018.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-05-05T13:17:23+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-b9653c0862661cce,,,1001018,17-C-00003,funded_status_reported,,2020,,not_applicable,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001018.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-05-05T13:17:23+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-d56ecacc0bb4745e,,,1000151,18-C-00009,capital_estimate_reported,,2019,7236075,reported_level,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000151.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-06-24T17:53:08+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-eb268d2ba3713bb6,,,1000151,18-C-00009,capital_actual_cost_reported,,2019,6787351.27,reported_level,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000151.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-06-24T17:53:08+00:00,official_source_observation,no,Actual cost is source-reported and not independently audited or necessarily final.
fin-0578c58db8e7d5d3,,,1000151,18-C-00009,funded_status_reported,,2019,,not_applicable,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000151.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-06-24T17:53:08+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-6cbf52b6846105ae,,,1000738,16-C-00026,capital_estimate_reported,,2020,13213006,reported_level,PIPES,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000738.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-06-24T17:53:08+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-97fe8986cb5b4ae9,,,1000738,16-C-00026,funded_status_reported,,2020,,not_applicable,PIPES,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000738.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-06-24T17:53:08+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-895b803e0ce600a9,tpa-7657433ed52a64,mp-d5b2b73c2cdcebe0,1001585,24-C00039,capital_estimate_reported,,2025,6800000,reported_level,Stormwater Improvement Fee,,https://www.tampa.gov/project/SW50004,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-22T19:25:42+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-d0c27d20870b4f7b,tpa-7657433ed52a64,mp-d5b2b73c2cdcebe0,1001585,24-C00039,funded_status_reported,,2025,,not_applicable,Stormwater Improvement Fee,,https://www.tampa.gov/project/SW50004,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-22T19:25:42+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-c3aee95d5a03ac8a,tpa-a852e71c9df8b3,mp-3d4fbd1e5b7cf7e9,1001588,,capital_estimate_reported,,2024,3000000,reported_level,Stormwater Improvement Fee,,https://www.tampa.gov/project/sw50003,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-10-12T13:49:07+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
