activity_id,physical_work_started,physical_work_completed,certificate_of_occupancy_issued,final_inspection_passed,project_cancelled,completion_date,verification_grade,verification_basis,verification_source,verification_date,verification_method,building_year_supporting_evidence,human_review_status
tpa-c24a4a51e94f0c,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-589558ecac1e37,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-5019b985bd1d77,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-513576269db68f,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-14c8b8b7a89eda,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-95d0a3f24b10d8,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-df2cedad65ca3b,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-c155a84ecb628b,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-b9b13f05dc4299,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-b6a5bf7e8bc182,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-9884d682aede74,unknown,unknown,unknown,unknown,unknown,,U,insufficient_completion_evidence,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-f4d55a44e6467a,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-6a027bcb3e94bf,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-ab602235c69506,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-dc48c779dc1672,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-a6ff3219bd560c,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-65f73625e085ef,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-7101fe4fc1e13b,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-65cea154326b52,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-221369f86fd20f,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-4194433a5b16f9,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-9095f067186f4f,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-d387519a4550c3,unknown,unknown,unknown,unknown,unknown,,U,insufficient_completion_evidence,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-747f5e9db69b70,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-5dc2ee70142bb7,unknown,unknown,unknown,unknown,unknown,,U,insufficient_completion_evidence,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-6f7d947e10f46f,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-a834a580e80dbb,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-5ba0e6458aee35,unknown,unknown,unknown,unknown,unknown,,U,insufficient_completion_evidence,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-13bddb354a0155,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
tpa-1db614043b0dfa,unknown,unknown,unknown,unknown,unknown,,D,permit_or_funding_approved_only,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23,deterministic_official_status_classification,no,pending
