building_match_audit_id,activity_id,location_id,building_object_id,match_method,match_confidence,match_distance_m,normalized_address_agreement,multiple_matched_buildings,geometry_check,historical_imagery_checked,new_footprint_vs_addition,human_match_correct,reviewer_id,reviewed_at_utc,evidence_url,review_notes
bma-adbdd2e7c8dbd0bc,tpa-1c60135caff5ef,loc-dad0e5dc0a022586,290531,nearest_footprint_within_35m,medium,15.68,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-596a1ee2ecaae502,tpa-5db1240255295f,loc-eb014c35f73ced0d,724524,nearest_footprint_within_35m,medium,14.61,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-6ad337f3e573be04,tpa-ae9d6bf17e84d5,loc-d5b0f2c65fc1e768,413393,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-018d6ee9459d8edb,tpa-6746f1ed590f27,loc-d194474995073016,93248,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-750b80a8b12f22e6,tpa-2c7fce8d93727e,loc-37e1f745e7187995,695416,nearest_footprint_within_35m,medium,30.51,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-d63aa4e4587a38a4,tpa-6792bf0f19a2e5,loc-0ce8078cbf04b080,95804,nearest_footprint_within_35m,medium,28.45,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-9c670625a621959b,tpa-e0c176437aece9,loc-ca7131b0a0f341cd,770630,nearest_footprint_within_35m,medium,25.21,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-6ded068cb2345d34,tpa-b9f6e7ea28d9bb,loc-772a63159a1927a4,316367,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-d3200ceabb3a0314,tpa-fbcb12458fa332,loc-56fd6f3f097ab828,317655,nearest_footprint_within_35m,medium,17.25,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-df486af93f99091f,tpa-cb9fd945906610,loc-98fb1966cab5af81,748371,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-6cf634b881672dbc,tpa-4b020af109acdb,loc-c9c4b61b9b8dcf69,52194,nearest_footprint_within_35m,medium,18.21,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-4868b3bd3abb9636,tpa-3b85917bae436a,loc-35cf79d0bbe72053,36099,nearest_footprint_within_35m,medium,15.87,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-aa6f2665f6c189bb,tpa-350650b6bcc790,loc-730de0b0c6efbef8,688678,exact_address_nearby_footprint,high,109.25,yes,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-3fdc3a4083b6707f,tpa-b741db146cd4a9,loc-0e7671656a8961e7,688423,nearest_footprint_within_35m,medium,20.16,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-d996cc6fa601e367,tpa-0f28f1007860a8,loc-cad58f03a72feb46,699246,nearest_footprint_within_35m,medium,21.96,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-b6ddc60744543965,tpa-136ad8c47c4004,loc-ad96a789c4e90365,384302,nearest_footprint_within_35m,medium,29.57,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-28e1a57d0115b2da,tpa-a451a431e8f568,loc-eed76c018d03a7b2,209057,nearest_footprint_within_35m,medium,23.44,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-378e67e790242249,tpa-c08496c53917f7,loc-ae55583b7ff6cc00,312901,nearest_footprint_within_35m,medium,21.2,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-45e718d748e757e7,tpa-f43acd1c2d1b43,loc-fa6283160dab84c7,753441,exact_address_nearby_footprint,high,26.37,yes,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-637eaea66bfeb73f,tpa-a330fdd8b80b23,loc-875cea3f5450977f,296293,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-57e9c0f6d8267197,tpa-9c2467bac37218,loc-03df4d425868a85a,168785,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-7bcbde85d87ab121,tpa-8cb9d498d40d9a,loc-3ebe53ca1bdd0d00,355385,point_in_building_footprint,high,,no,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-a95a20cda7db5b8a,tpa-09b8b1f5465cfb,loc-d0b1976a992dadcf,261262,nearest_footprint_within_35m,medium,16.45,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-46ceaa3c0e3ead53,tpa-1ad199ceb72ea6,loc-9e1deaf065a95f7b,770103,exact_address_nearby_footprint,high,16.03,yes,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-2a075a7663f02684,tpa-6815bd7dc0068d,loc-acfb51df50f771f9,601032,nearest_footprint_within_35m,medium,32.15,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-83a196c019e2b9e9,tpa-124ac81151ad48,loc-081630d626397070,83850,nearest_footprint_within_35m,medium,18.45,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-0aedbe61ea655f41,tpa-a962984d63f12c,loc-3ea542c001331fb5,201863,nearest_footprint_within_35m,medium,30.44,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-3f545cdcc54953d1,tpa-c074c2415d7715,loc-df59c929324b7dc6,747979,nearest_footprint_within_35m,medium,28.73,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-a4bc2e919569e7ef,tpa-36b850bc5a14f3,loc-81ae1131f37a3083,107102,exact_address_nearby_footprint,high,21.22,yes,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-0a48fe9ad0f1b2fa,tpa-955da9d41f111b,loc-cdf1075c1d57fe33,9773,exact_address_nearby_footprint,high,2.46,yes,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-2314e80a4ca91444,tpa-952689e7d57a44,loc-88f315d971945e68,589259,nearest_footprint_within_35m,medium,15.71,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-5cd4281161be31f9,tpa-5cd48e592e3d28,loc-fbe11da01716a2a8,313705,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-c5d0a79a84c394ed,tpa-9541b1e715cfe0,loc-96361b9c20cee935,754543,nearest_footprint_within_35m,medium,22.38,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-5c111bea3520e03e,tpa-7e19316a24edf7,loc-de89c34d87337ad1,750017,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-02709ccb00cd3fd4,tpa-ff3b5ee254b6df,loc-fe1b2765fa3aa65a,296101,nearest_footprint_within_35m,medium,18.19,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-f4d6aac3a7e85159,tpa-0d888d986de3a9,loc-1d9815e94ae2c3d5,775290,nearest_footprint_within_35m,medium,27.29,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-ac673cb27c9b3e9d,tpa-996c1136a4abae,loc-aa94fd51696862a8,748217,nearest_footprint_within_35m,medium,26.13,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-18851f2b6c26898a,tpa-0c2a6281b39abd,loc-bfae1e7b3b5770e1,53391,nearest_footprint_within_35m,medium,27.18,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-f5a45283e947dad1,tpa-787c8433ac0b11,loc-8690964d28693e33,749903,nearest_footprint_within_35m,medium,31.31,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-f4472b583c96c8f5,tpa-060e2b9ee13cb5,loc-108fecc99dc32936,726874,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-a9791a0682a194b1,tpa-f9b1960298f38e,loc-782bee5be08824d9,775994,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-6ac81a2d895859b7,tpa-9612fd995b1f4d,loc-3709575e0d930fe3,702718,exact_address_nearby_footprint,high,5.68,yes,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-15093e80b16344e8,tpa-3bcc0c2713c7a6,loc-ccd536514d3254f1,185593,point_in_building_footprint,high,,no,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-c6fb405393a094fa,tpa-36fa8e42a8df45,loc-b24ecbcad239fa14,251928,nearest_footprint_within_35m,medium,16.18,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-f8302ac61400b9a7,tpa-bdf2b4e3a608fe,loc-18adb1b207a59882,209772,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-5229beeaae2738bc,tpa-269ba92cdf0156,loc-1e190d43498a457c,691231,nearest_footprint_within_35m,medium,24.66,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-0c12cd5767cd96a9,tpa-d92d17ff7666c4,loc-a8b0a29188d57000,752184,nearest_footprint_within_35m,medium,20.24,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-f4fdb6504c18e0b9,tpa-4a8beea796f9ae,loc-1afcebf34b1c2709,752184,nearest_footprint_within_35m,medium,20.24,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-76cea1caef38866c,tpa-50c2c33b95d1fd,loc-9bd10211f127fee0,69710,nearest_footprint_within_35m,medium,24.12,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-7fc7deababa71bda,tpa-4c69fbae4aefed,loc-96a5acdf42993f31,255225,nearest_footprint_within_35m,medium,14.2,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-eaf87efdbf66a54a,tpa-e3586e790ac3f4,loc-ea0c0520c0732637,726631,exact_address_nearby_footprint,high,14.95,yes,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-6fc6bc88fc15bb29,tpa-ebf5b2b8c2d226,loc-2a41a5adb45da4fe,175990,nearest_footprint_within_35m,medium,32.72,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-33522d3b195d7901,tpa-258d15e56eb1f0,loc-79c744e71e709ac4,261262,nearest_footprint_within_35m,medium,18.39,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-31a431b3e6897fd7,tpa-80b50251d99ce3,loc-f3427adea10e11dd,211135,nearest_footprint_within_35m,medium,14.5,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-ac051981a0854065,tpa-5853fbc642ed03,loc-df0d7454a80ed6aa,373510,nearest_footprint_within_35m,medium,24.32,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-9f2a16569e75d3a4,tpa-5bd84ed5116cad,loc-b93f0f7dfb8b1ef8,405770,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-84f2896a57c71334,tpa-14b09bb3728243,loc-f2cd686ca7ed3bf1,219496,nearest_footprint_within_35m,medium,25.49,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-3eed668ddffa7936,tpa-4f131f3b66608e,loc-7b9d27933102f6a7,270697,nearest_footprint_within_35m,medium,33.12,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-26585b5421965df4,tpa-119ce4ce7e0b65,loc-d5e43255b5f0de74,701114,nearest_footprint_within_35m,medium,21.77,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-a69de3a0f3de8a73,tpa-50a7fd05573da1,loc-6bec6386d573b136,392752,nearest_footprint_within_35m,medium,32.29,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-d6e530b2d633f188,tpa-4f33c4c2d12617,loc-0b9d9d70d497088b,343775,nearest_footprint_within_35m,medium,18.45,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-2d49ea45bfd48db8,tpa-9aeeb1689d455a,loc-2c8b4509d727a1c5,302696,nearest_footprint_within_35m,medium,33.99,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-d187f2ed2cd89234,tpa-545e61d7ecbaf5,loc-810fc81217ddc9a0,702664,nearest_footprint_within_35m,medium,18.77,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-4ffe818a149af193,tpa-35b9b97f3d7227,loc-2eeac4518cb958e8,224909,point_in_building_footprint,high,,no,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-2a28644cfce8d5dd,tpa-dc48aeab5e0373,loc-265e7bdf44f96737,289967,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-6085ffb31fa985df,tpa-c3c3b3282ff9a2,loc-2ca7b2cdf18877fa,710447,nearest_footprint_within_35m,medium,28.31,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-5febd05a9f7bffea,tpa-e69fb24f6f232f,loc-304f073e177b418a,278660,exact_address_nearby_footprint,high,20.82,yes,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-bd410530b2cd5cf8,tpa-d3fe9f065c5e1b,loc-509e1617bee5ec2c,702890,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-c02a9929b30789e3,tpa-e2a5b30c3ba02d,loc-b243696a7afeeaa7,693933,exact_address_nearby_footprint,high,67.86,yes,yes,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-bcfef02fa0a3e3d3,tpa-e2a5b30c3ba02d,loc-b243696a7afeeaa7,693896,exact_address_nearby_footprint,high,80.3,yes,yes,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-b288a014a67eca5a,tpa-e2a5b30c3ba02d,loc-b243696a7afeeaa7,55558,exact_address_nearby_footprint,high,93.47,yes,yes,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-86800cc6ab177e65,tpa-e2a5b30c3ba02d,loc-b243696a7afeeaa7,58006,exact_address_nearby_footprint,high,46.49,yes,yes,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-32e54d2c584522d0,tpa-4eb68642e6ac34,loc-024eddb795c3b16e,102774,nearest_footprint_within_35m,medium,20.36,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-dd420bf357552faf,tpa-0d0772df9c848a,loc-eba476d668d358ad,318133,nearest_footprint_within_35m,medium,30.34,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-a0ae6c52085666ec,tpa-82bf53baa9c0fa,loc-4c1d4f0dc4a61002,25622,nearest_footprint_within_35m,medium,13.54,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-3dabc1ff330d5d75,tpa-ef0fa05d941fd6,loc-cc3c7d81ff824db1,770392,nearest_footprint_within_35m,medium,19.95,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-e9998570196258e4,tpa-32ffc4b6f6bf79,loc-9ff963a8dca7f6aa,70223,nearest_footprint_within_35m,medium,17.81,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-1333a3aedee126cc,tpa-1816157db60c10,loc-a8ce35159b57f2ad,169352,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-976de894b50a9c34,tpa-574a1c62bbf896,loc-a1b64d29f0046e19,94450,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-5d0c1dc915a86b1e,tpa-2289dcf89d0970,loc-77a669e683a9be1e,149280,nearest_footprint_within_35m,medium,32.51,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-646bf955eb7bb866,tpa-5faab6a61467df,loc-c1231e613f6917b8,341806,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-51aed4e886a15eaf,tpa-2bf73e751a705a,loc-a4a6ea3d4fbc2322,169518,nearest_footprint_within_35m,medium,24.32,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-75d6a97978f7ad75,tpa-9e1393b3fc4ee2,loc-40c65b7ce1d652ff,407854,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-ada496ac4c305402,tpa-ce53040f8b92b9,loc-5f0d3c71825c5dd1,290671,nearest_footprint_within_35m,medium,31.53,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-1386d572e6bcafbe,tpa-d63fca8f8782ce,loc-87909be32359c4e5,111763,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-cb335e52f7f71d87,tpa-62ab89191ec2f6,loc-db6944bfdec5a628,178595,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-1832de7b9b9b5707,tpa-a89d1aacd75ce4,loc-aa425ca9e6b5a2ce,178595,nearest_footprint_within_35m,medium,20.85,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-d9c5051fe3bf2cff,tpa-6ce302020a72d9,loc-32fdb56a8b275f45,355411,nearest_footprint_within_35m,medium,22.26,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-38168448f29cbbaf,tpa-6db438b1ffd53e,loc-86f724b07b8ce54c,332154,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-5aaea0a9a4527fde,tpa-3acf8de4ea9c56,loc-53d7bcc43589bc16,80049,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-8fd4d2f3fd307738,tpa-fceee2e49eff05,loc-8aa99ee471d3cb9b,691454,nearest_footprint_within_35m,medium,19.86,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-ba82c959bb3d16f6,tpa-8d4cbd0f2a328f,loc-12fbce9fa1bd5059,151026,exact_address_nearby_footprint,high,80.02,yes,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-8a7f49706906e2fc,tpa-ea8ae8e45aa79a,loc-5858e2890a279a23,726989,exact_address_nearby_footprint,high,96.25,yes,yes,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-7bcef7f8f840e174,tpa-ea8ae8e45aa79a,loc-5858e2890a279a23,726992,exact_address_nearby_footprint,high,39.85,yes,yes,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-2d596e8a8ad7e90b,tpa-f82e13b8729f3e,loc-e338500999b411f9,284428,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-bf393010d9177d5c,tpa-004781f08704b8,loc-ffef48b9991215d9,245693,nearest_footprint_within_35m,medium,21.67,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-9a09daf462476f9f,tpa-2fd12449a063f6,loc-4ab1e3a578180bb5,42448,nearest_footprint_within_35m,medium,27.82,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-94d7c964f3f552d7,tpa-e78e86e21034c4,loc-5a2f3009d3f2ac75,400306,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-0eab88418992a010,tpa-8636c32ef4d0dc,loc-fe122e0cc6028622,750246,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-e60ba70691127805,tpa-d02615c8f6fdb1,loc-0249c3faea4d5a2d,87248,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-d2196510cfc401a3,tpa-5d25382d4939dc,loc-97d914379c793fa9,68081,nearest_footprint_within_35m,medium,21.82,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-bdab495c35c157b4,tpa-120e68e416dc86,loc-34bd70b916e62eb9,265195,nearest_footprint_within_35m,medium,16.06,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-360470ab3acea65d,tpa-a8e3aece54ecea,loc-ea60757e5c8eb18c,405412,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-a110cd10f78aa341,tpa-d7e421230aaed9,loc-ca1a2ccbe4ecd1c7,70955,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-8a37dde147ed7b79,tpa-210e8e9787b2b7,loc-a72f1601c28f622a,352755,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-8120edcd8ca3b3fd,tpa-82d224800f48ca,loc-624763ff0cd63d60,405103,nearest_footprint_within_35m,medium,18.89,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-6a943837e03df9f3,tpa-bcfad7847325d6,loc-b75e14efc9a74fd5,708729,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-1f69f939abecd28c,tpa-e2e5473f3f5371,loc-ecaaa439b642e43d,738215,nearest_footprint_within_35m,medium,27.51,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-db56a16c5dae35d5,tpa-1f2c3836c5ecb7,loc-169cfe64aa4a50e5,421,nearest_footprint_within_35m,medium,18.52,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-d6f107943765cb4a,tpa-070ce9870abedd,loc-ffb444d6e7f575a9,415992,nearest_footprint_within_35m,medium,21.31,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
bma-c7b2fbb2df06722e,tpa-5f04c7c5ec614b,loc-70bc7345fe784306,156001,point_in_building_footprint,high,,yes,no,point_in_footprint,unknown,unknown,unknown,,,,
bma-dd8e239e73636872,tpa-099e0b3b758b0b,loc-120002401eb2742f,757683,nearest_footprint_within_35m,medium,20.04,no,no,proximity_or_address_rule,unknown,unknown,unknown,,,,
