source_memberships,source_record_id,activity_stage,status,latitude,longitude,source_endpoint,retrieved_at_utc,project_name,description,activity_class,record_type,address,unit,zip,neighborhood,cra,council_district,status_date,planned_start_date,planned_end_date,last_updated,new_construction_sqft,housing_units,estimated_cost_usd,actual_cost_usd,funding_source,is_public,physical_development_candidate,source_url,activity_id,record_created_date,application_or_opened_date,raw_component_rows,location_count,matched_folios,matched_building_count,matched_year_built_min,matched_year_built_max,parcel_match_confidence,realization_evidence_grade,likely_realized,realization_basis
construction_inspections,BLD-10-0354574,permit_or_funding_approved,Issued,27.983178,-82.4225445,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,Expedited Project,Reissue S/B:INT/EXT REMODEL OF EX RETAIL/PRKNG LOT W/EMP Original date of application 07/26/2010,building_construction,Commercial Building Alterations (Renovations),4202 N 34TH St,6,33610,East Tampa 1,East Tampa,5,2021-04-01,,,2021-04-01,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=10HIS&capID2=00000&capID3=0FFWH&agencyCode=TAMPA,tpa-c24a4a51e94f0c,2010-07-26,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-11-0369102,permit_or_funding_approved,Issued,27.936432,-82.4680575,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,Reissue -Owner - 1st Fl Bathroom,INT REMODEL OF 1ST FLOOR BATHROOM W/PL Reissue Original date: 06/10/2011,building_construction,Residential Building Alterations (Renovations),713 S FIELDING Ave,,33606,Hyde Park Preservation,,4,2020-06-05,,,2020-06-05,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=11HIS&capID2=00000&capID3=0GGCT&agencyCode=TAMPA,tpa-589558ecac1e37,2011-06-10,,1,1,196940.0000,1,,,medium,U,,insufficient_completion_evidence
construction_inspections,BLD-12-0381867,permit_or_funding_approved,Issued,27.887436,-82.497825,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,REISSUE - Garage Addition / driveway,REISSUE - CONSTRUCT DETACHED GARAGE W/ DRIVEWAY & ADDITION FOR GAMEROOM W/ EL Original Application Date 3/14/2012,building_construction,Residential New Construction and Additions,5224 S SHERIDAN Rd,,33611,Interbay - South of Gandy,,4,2026-07-20,,,2026-07-20,1080,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=12HIS&capID2=00000&capID3=0HE5N&agencyCode=TAMPA,tpa-5019b985bd1d77,2012-03-14,,1,1,134151.0000,1,1951,1951,medium,U,,insufficient_completion_evidence
construction_inspections,BLD-15-0432277,permit_or_funding_approved,Issued,27.931815,-82.480176,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,REISSUE,"INTR/EXTR REMODEL OF 4UNIT APT BLDG W/EL, PL Original Application Date 10/02/2014",building_construction,Commercial Building Alterations (Renovations),1812 W WATROUS Ave,,33606,Historic Hyde Park,,4,2023-01-19,,,2023-01-19,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=14HIS&capID2=00000&capID3=0KQXU&agencyCode=TAMPA,tpa-513576269db68f,2014-10-02,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-15-0438356,permit_or_funding_approved,Issued,27.976455,-82.469529,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,Reissue - OWNER - RESIDENTIAL ADDITION,CONSTRUCT ADDITION FOR STORAGE ROOM Original Date 03/23/2015,building_construction,Residential New Construction and Additions,719 W Woodlawn Ave,,33603,Riverside Heights,,6,2021-11-02,,,2021-11-02,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=15CAP&capID2=00000&capID3=0080H&agencyCode=TAMPA,tpa-14c8b8b7a89eda,2015-03-23,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-15-0439267,permit_or_funding_approved,Issued,27.9486,-82.456137,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,Corridor Modification,Interior remodel of 3rd floor corridor,building_construction,Commercial Building Alterations (Renovations),500 E Kennedy Blvd,,33602,Tampa Downtown Partnership,Downtown Non Core,5,2023-05-03,,,2023-05-03,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=15CAP&capID2=00000&capID3=00EPI&agencyCode=TAMPA,tpa-95d0a3f24b10d8,2015-05-14,,1,1,,,,,,U,,insufficient_completion_evidence
construction_inspections,BLD-15-0440165,permit_or_funding_approved,Issued,27.994977,-82.4591745,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,REISSUE - Interior Build Resturant,"REISSUE - Interior build out for a restaurant, to include building, mechanical, electrical. plumbing Original Application Date 06/26/2015",building_construction,Commercial New Construction and Additions,5229 N Florida Ave,,33603,Old Seminole Heights,,6,2023-06-21,,,2023-06-21,1938,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=15CAP&capID2=00000&capID3=00KQ8&agencyCode=TAMPA,tpa-df2cedad65ca3b,2015-06-26,,1,1,164648.0000,1,,,high,U,,insufficient_completion_evidence
construction_inspections,BLD-15-0440803,permit_or_funding_approved,Issued,28.014606,-82.474632,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,Reissue: RESID ADDN,NEW DETACH GARAGE AND STORAGE ROOM W/ELECTRICAL ONLY Original Date: 8/5/2015,building_construction,Residential New Construction and Additions,1505 W Hamilton Ave,,33604,Lowry Park Central,,6,2023-01-15,,,2023-01-15,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=15CAP&capID2=00000&capID3=00PWQ&agencyCode=TAMPA,tpa-c155a84ecb628b,2015-08-05,,1,1,101684.0100,1,1999,1999,medium,U,,insufficient_completion_evidence
construction_inspections,BLD-16-0441898,permit_or_funding_approved,Issued,28.026423,-82.4574015,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,Reissue New SFR,Construct 2-story Single family residence with attached 2-car garage & porch Original issue date : 12/11/2015,building_construction,Residential New Construction and Additions,8414 N Dixon Ave,BLDG 2,33604,Sulphur Springs,,6,2018-04-30,,,2018-04-30,3000,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=15CAP&capID2=00000&capID3=00Z9Y&agencyCode=TAMPA,tpa-b9b13f05dc4299,2015-10-14,,1,1,99238.0000,1,1950,1950,medium,U,,insufficient_completion_evidence
construction_inspections,BLD-16-0443185,permit_or_funding_approved,Issued,27.9486,-82.456137,https://arcgis.tampagov.net/arcgis/rest/services/OpenData/Planning/MapServer/30,2026-08-23T02:06:02+00:00,2nd fl:remodel,2nd floor remodel with new partition walls (non-structural) and electrical changes.,building_construction,Commercial Building Alterations (Renovations),500 E Kennedy Blvd,,33602,Tampa Downtown Partnership,Downtown Non Core,5,2023-05-02,,,2023-05-02,0,0,,,,,1,https://aca-prod.accela.com/TAMPA/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=16CAP&capID2=00000&capID3=000C9&agencyCode=TAMPA,tpa-b6a5bf7e8bc182,2016-01-06,,1,1,,,,,,U,,insufficient_completion_evidence
